Publication Years                            	   Record Count	         % of 547

2025                                         	              1	     0.183
2024                                         	             51	     9.324
2023                                         	             45	     8.227
2022                                         	             63	    11.517
2021                                         	             60	    10.969
2020                                         	             75	    13.711
2019                                         	             42	     7.678
2018                                         	             51	     9.324
2017                                         	             49	     8.958
2016                                         	             31	     5.667
2015                                         	             33	     6.033
2014                                         	             34	     6.216
2013                                         	             12	     2.194
