Affiliations                                 	   Record Count	         % of 547

AALTO UNIVERSITY                             	              6	     1.097
ACADEMY OF MATHEMATICS SYSTEM SCIENCES CAS   	              1	     0.183
ACUMEN PHARMCEUT                             	              1	     0.183
AD DRUG DISCOVERY FDN                        	              1	     0.183
AFYON KOCATEPE UNIVERSITY                    	              1	     0.183
AHLIA UNIVERSITY BAHRAIN                     	              2	     0.366
AIR FORCE INSTITUTE OF TECHNOLOGY AFIT       	              2	     0.366
AIX MARSEILLE UNIVERSITE                     	              1	     0.183
ALAN TURING INST                             	              5	     0.914
ALBANY MEDICAL COLLEGE                       	              1	     0.183
ALCATEL LUCENT                               	              1	     0.183
ALFRED RENY INST MATH HUN REN                	              1	     0.183
ALLIANCE MANCHESTER BUSINESS SCHOOL          	              1	     0.183
ALMA MATER EUROPAEA                          	              1	     0.183
ALZHEIMER S ASSOCIATION                      	              1	     0.183
ANHUI JIANZHU UNIVERSITY                     	              2	     0.366
ANQING NORMAL UNIVERSITY                     	              1	     0.183
ARC CTR EXCELLENCE MATH STAT FRONTIERS ACEMS 	              1	     0.183
ARGONNE NATIONAL LABORATORY                  	              1	     0.183
ARISTOTLE UNIV THESSALONIKI1                 	              1	     0.183
ARISTOTLE UNIVERSITY OF THESSALONIKI         	              2	     0.366
ARIZONA STATE UNIVERSITY                     	              6	     1.097
ARIZONA STATE UNIVERSITY TEMPE               	              2	     0.366
ASCHAFFENBURG UNIV APPL SCI                  	              1	     0.183
ASTON UNIVERSITY                             	              1	     0.183
AT T                                         	              1	     0.183
AVIGNON UNIVERSITE                           	              3	     0.548
BABES BOLYAI UNIVERSITY FROM CLUJ            	              1	     0.183
BAIDU                                        	              1	     0.183
BANNER ALZHEIMER S INSTITUTE                 	              1	     0.183
BANNER HEALTH                                	              1	     0.183
BANNER RESEARCH                              	              1	     0.183
BANNER SUN HEALTH RESEARCH INSTITUTE         	              1	     0.183
BAR ILAN UNIVERSITY                          	              8	     1.463
BAYLOR COLLEGE OF MEDICINE                   	              1	     0.183
BBVA BANK                                    	              1	     0.183
BEIHANG UNIVERSITY                           	              2	     0.366
BEIJING JIAOTONG UNIVERSITY                  	              2	     0.366
BEIJING UNIVERSITY OF POSTS TELECOMMUNICATION	              1	     0.183
S                                            	               	          
BEN GURION UNIVERSITY                        	              2	     0.366
BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA    	              1	     0.183
BENNETT UNIV                                 	              1	     0.183
BINGHAMTON UNIVERSITY SUNY                   	              3	     0.548
BOGAZICI UNIVERSITY                          	              1	     0.183
BOISE STATE UNIVERSITY                       	              1	     0.183
BOSTON UNIVERSITY                            	              7	     1.280
BOURNEMOUTH UNIVERSITY                       	              1	     0.183
BRANDEIS UNIVERSITY                          	              1	     0.183
BRAUDE ACADEMIC COLLEGE OF ENGINEERING       	              1	     0.183
BRIGHAM WOMEN S HOSPITAL                     	              2	     0.366
BRIGHAM YOUNG UNIVERSITY                     	              2	     0.366
BRITISH LIB                                  	              2	     0.366
BROWN UNIVERSITY                             	              1	     0.183
BUDAPEST UNIVERSITY OF TECHNOLOGY ECONOMICS  	              2	     0.366
BUTLER HOSPITAL RHODE ISLAND                 	              1	     0.183
CALIFORNIA INSTITUTE OF TECHNOLOGY           	              1	     0.183
CAPITAL UNIVERSITY OF ECONOMICS BUSINESS     	              1	     0.183
CARNEGIE MELLON UNIVERSITY                   	              5	     0.914
CASE WESTERN RESERVE UNIVERSITY              	              1	     0.183
CEA                                          	              1	     0.183
CENT EUROPEAN UNIV                           	              3	     0.548
CENTRAL BANK OF BRAZIL                       	              2	     0.366
CENTRAL EUROPEAN UNIVERSITY                  	              2	     0.366
CENTRAL SOUTH UNIVERSITY                     	              1	     0.183
CENTRAL UNIVERSITY OF FINANCE ECONOMICS      	              1	     0.183
CENTRAL UNIVERSITY OF HIMACHAL PRADESH       	              1	     0.183
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE 	             18	     3.291
CNRS                                         	               	          
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE 	              1	     0.183
TECHNOLOGIQUE CNRST                          	               	          
CENTRO ATOMICO BARILOCHE                     	              2	     0.366
CHENGDU COLL ARTS SCI                        	              1	     0.183
CHILDRENS HOSPITAL OF PHILADELPHIA           	              1	     0.183
