Authors                                      	   Record Count	         % of 547

Abramson G                                   	              1	     0.183
Adey BT                                      	              1	     0.183
Afrin T                                      	              1	     0.183
Agarwala S                                   	              1	     0.183
Agostinelli C                                	              1	     0.183
Agrawal RK                                   	              1	     0.183
Ahmad N                                      	              1	     0.183
Ahmadi G                                     	              1	     0.183
Ahmadi S                                     	              1	     0.183
Ahn TK                                       	              2	     0.366
Ahnert SE                                    	              1	     0.183
Aicher C                                     	              1	     0.183
Aisen P                                      	              1	     0.183
Aksoy SG                                     	              2	     0.366
Akutsu T                                     	              1	     0.183
Al-obeidat F                                 	              1	     0.183
Albers CS                                    	              1	     0.183
Albert M                                     	              1	     0.183
Albert R                                     	              1	     0.183
Aleidan A                                    	              1	     0.183
Aleman D                                     	              1	     0.183
Alexandre M                                  	              1	     0.183
Alexandrov A                                 	              1	     0.183
Alipourfard N                                	              1	     0.183
Allard J                                     	              1	     0.183
Allen C                                      	              1	     0.183
Alonso L                                     	              1	     0.183
Alstott J                                    	              2	     0.366
Alves CL                                     	              2	     0.366
Alves H                                      	              1	     0.183
Alves LGA                                    	              1	     0.183
Amancio DR                                   	              2	     0.366
Ambika G                                     	              1	     0.183
Amblard F                                    	              1	     0.183
Amico E                                      	              1	     0.183
Amin A                                       	              1	     0.183
Amoroso N                                    	              1	     0.183
Anagnostopoulos I                            	              1	     0.183
Ances B                                      	              1	     0.183
Anderson K                                   	              1	     0.183
Andrade RFS                                  	              1	     0.183
Andreazzi CS                                 	              1	     0.183
Andres E                                     	              1	     0.183
Antonioni A                                  	              1	     0.183
Apostolova L                                 	              1	     0.183
Aprahamian M                                 	              1	     0.183
Arakawa S                                    	              1	     0.183
Arceo-may E                                  	              1	     0.183
Arebi P                                      	              1	     0.183
Aref S                                       	              2	     0.366
Arenas A                                     	              4	     0.731
Arfanakis K                                  	              1	     0.183
Arinik N                                     	              1	     0.183
Arkhipov P                                   	              1	     0.183
Arnold N                                     	              1	     0.183
Arnold SE                                    	              1	     0.183
Arora V                                      	              1	     0.183
Arrigo F                                     	              1	     0.183
Arsiwalla XD                                 	              1	     0.183
Asadpour M                                   	              1	     0.183
Assaly M                                     	              1	     0.183
Aste T                                       	              1	     0.183
Asthana S                                    	              1	     0.183
Atilgan AR                                   	              1	     0.183
Atilgan C                                    	              1	     0.183
Au YH                                        	              1	     0.183
Avetisov V                                   	              1	     0.183
Azad N                                       	              1	     0.183
Aziz F                                       	              2	     0.366
Bachman D                                    	              1	     0.183
Bachmann I                                   	              1	     0.183
Bader DA                                     	              1	     0.183
Badur B                                      	              1	     0.183
Baez JC                                      	              1	     0.183
Bagnoli F                                    	              1	     0.183
Bagrow JP                                    	              1	     0.183
Baiser B                                     	              1	     0.183
Bala M                                       	              1	     0.183
Balakrishnan K                               	              1	     0.183
Bales KN                                     	              1	     0.183
Balogh SG                                    	              1	     0.183
Bando SY                                     	              1	     0.183
Banerjee A                                   	              1	     0.183
Banerjee S                                   	              1	     0.183
Bannink T                                    	              1	     0.183
Bansal A                                     	              1	     0.183
Baptista AF                                  	              1	     0.183
Barahona M                                   	              1	     0.183
Baratela EA                                  	              1	     0.183
Barbour AD                                   	              1	     0.183
Barkanass V                                  	              1	     0.183
Barrat A                                     	              1	     0.183
Barrio RA                                    	              2	     0.366
Bartha R                                     	              1	     0.183
Barthelemy M                                 	              1	     0.183
Bartzokis G                                  	              1	     0.183
Bashan A                                     	              1	     0.183
Bassett DS                                   	              6	     1.097
Bassler KE                                   	              2	     0.366
Bastos SB                                    	              1	     0.183
Bates V                                      	              1	     0.183
Battiston F                                  	              2	     0.366
Bauza FJ                                     	              1	     0.183
Beaufort LB                                  	              1	     0.183
Becerra M                                    	              1	     0.183
Beckett L                                    	              1	     0.183
Behan K                                      	              1	     0.183
Belden CM                                    	              1	     0.183
Bell KL                                      	              1	     0.183
Bellingeri M                                 	              1	     0.183
Bellotti R                                   	              1	     0.183
Benavides PT                                 	              1	     0.183
Bennett L                                    	              1	     0.183
Benson AR                                    	              1	     0.183
Benzi M                                      	              6	     1.097
Berezin Y                                    	              1	     0.183
Bergman H                                    	              1	     0.183
Bernick C                                    	              1	     0.183
Bernstein M                                  	              1	     0.183
Berry MW                                     	              1	     0.183
Bertaccini D                                 	              1	     0.183
Bertagnolli G                                	              1	     0.183
Berthouze L                                  	              2	     0.366
Betlen A                                     	              1	     0.183
Bhardwaj M                                   	              1	     0.183
Bhatt N                                      	              1	     0.183
Bhattacharya S                               	              1	     0.183
Bianconi G                                   	              1	     0.183
Bick C                                       	              1	     0.183
Bickford D                                   	              1	     0.183
Black S                                      	              1	     0.183
Blank K                                      	              1	     0.183
Blondel VD                                   	              1	     0.183
Bloznelis M                                  	              1	     0.183
Bodge C                                      	              1	     0.183
Boito P                                      	              1	     0.183
Bollt EM                                     	              1	     0.183
Bonaccorsi S                                 	              1	     0.183
Bonakdarpour B                               	              1	     0.183
Bonner AJ                                    	              1	     0.183
Booth V                                      	              1	     0.183
Borge-holthoefer J                           	              1	     0.183
Borges-neto S                                	              1	     0.183
Borgnat P                                    	              1	     0.183
Boroojeni AA                                 	              1	     0.183
Borowski B                                   	              1	     0.183
Borrett SR                                   	              1	     0.183
Borrie M                                     	              1	     0.183
Borriello E                                  	              1	     0.183
Bosco A                                      	              1	     0.183
Boudebza S                                   	              1	     0.183
Bouffanais R                                 	              1	     0.183
Bowater D                                    	              1	     0.183
Bradonjic M                                  	              1	     0.183
Bramson A                                    	              1	     0.183
Brand C                                      	              1	     0.183
Brandes U                                    	              1	     0.183
Brask JB                                     	              1	     0.183
Braunstein LA                                	              3	     0.548
Brawman-mintzer O                            	              1	     0.183
Brede M                                      	              2	     0.366
Brewer J                                     	              1	     0.183
Brito P                                      	              2	     0.366
Brockington J                                	              1	     0.183
Brockmann D                                  	              2	     0.366
Brooks WM                                    	              1	     0.183
Brosch JR                                    	              1	     0.183
Brown K                                      	              1	     0.183
Bruno OM                                     	              1	     0.183
Buchanan M                                   	              1	     0.183
Buckholtz N                                  	              1	     0.183
Budel G                                      	              1	     0.183
Budson AE                                    	              1	     0.183
Buldyrev SV                                  	              2	     0.366
Bullmore E                                   	              1	     0.183
