Funding Agencies                             	   Record Count	         % of 547

ACADEMIC EXCELLENCE FOUNDATION OF BUAA       	              1	     0.183
ACADEMIC FUND PROGRAM AT THE NATIONAL RESEARC	              1	     0.183
H UNIVERSITY HIGHER SCHOOL OF ECONOMICS HSE IN 2020 2021	               	          
ACADEMICS GRANT OF THE IDEXLYON              	              1	     0.183
ACADEMIE D AGRICULTURE DE FRANCE             	              1	     0.183
ACADEMY OF FINLAND GRANT SUOMEN AKATEMIAN PAA	              1	     0.183
TOS                                          	               	          
ACADEMY OF MEDICAL SCIENCES NEWTON FUND      	              3	     0.548
ACTION DE RECHERCHE CONCERTEE ARC OF THE FREN	              1	     0.183
CH COMMUNITY OF BELGIUM                      	               	          
ADD ON FELLOWSHIP FOR INTERDISCIPLINARY LIFE 	              1	     0.183
SCIENCE BY THE JOACHIM HERZ STIFTUNG         	               	          
AFA INSURANCE                                	              1	     0.183
AGENCE NATIONALE DE LA RECHERCHE ANR         	              9	     1.645
AGENCE NATIONALE DES PLANTES MEDICINALES ET A	              1	     0.183
ROMATIQUES ANPMA MOROCCO                     	               	          
AGENCE NATIONALE POUR LE DEVELOPPEMENT DE LA 	              2	     0.366
RECHERCHE EN SANTE ANDRS                     	               	          
AGORANTIC INTERDISCIPLINARY RESEARCH FEDERATI	              1	     0.183
ON                                           	               	          
AGORANTIC RESEARCH FEDERATION                	              1	     0.183
AIR FORCE                                    	              1	     0.183
AIR FORCE OFFICE OF SCIENTIFIC RESEARCH AFOSR	              9	     1.645
AIR FORCE RESEARCH LABORATORY AND DEFENSE ADV	              1	     0.183
ANCED RESEARCH PROJECTS AGENCY DARPA         	               	          
ALAN TURING INSTITUTE                        	              3	     0.548
ALAN TURING INSTITUTE FOR DATA SCIENCE AND AR	              1	     0.183
TIFICIAL INTELLIGENCE                        	               	          
ALEXANDER VON HUMBOLDT FOUNDATION            	              4	     0.731
ALFRED P SLOAN FOUNDATION                    	              7	     1.280
AMERICAN SOCIETY FOR ENGINEERING EDUCATION NA	              1	     0.183
TIONAL SCIENCE AND ENGINEERING GRADUATE FELLOWSHIP NDSEG	               	          
AMERICAN SOCIETY OF NEURORADIOLOGY           	              1	     0.183
ANPCYT                                       	              1	     0.183
APPLIED MATHEMATICS PROGRAM OF THE UNITED STA	              1	     0.183
