keyword	TC	Centrality	Burst	PY	BurstBegin	BurstEnd	Span	HalfLife2	Status	WaitingTime
@PHRASEblockmodels	12.0	0.017156638656037695	5.9993	1993	1993	2009	17	5.5	1	0
@PHRASEexchange networks	12.0	0.012408115805802105	6.0118	1992	1992	2000	9	5.5	1	0
@PHRASEmanagement	17.0	0.008215331496205895	6.021	2016	2020	2023	4	5.5	1	4
@PHRASEsocial support	31.0	0.036598317992548764	4.2056	1999	2005	2007	3	16.5	1	6
@PHRASEstrength	27.0	0.02093505163817664	7.4893	2010	2010	2018	9	4.5	1	0
@PHRASEtwo-mode networks	7.0	8.074764575243466E-4	3.9111	2011	2011	2013	3	1.5	1	0
@PHRASEintegration	15.0	0.014242899750712251	5.5853	2020	2020	2025	6	1.5	1	0
@PHRASEsocial network analysis	41.0	0.035568734761943895	6.0783	2010	2020	2023	4	9.5	1	10
@PHRASEcommitment	7.0	0.0013787016491343415	4.0358	1999	1999	2008	10	7.5	1	0
@PHRASElogit models	16.0	0.00975141422857769	6.9413	2003	2003	2013	11	5.5	1	0
@PHRASEdata collection	15.0	0.004009926298744658	8.17	2021	2021	2022	2	0.5	1	0
@PHRASEweak ty	11.0	0.002229573728221565	5.0529	2015	2015	2018	4	2.5	1	0
@PHRASEinformant accuracy	19.0	0.04741405479536489	4.393	1991	1991	2007	17	15.5	1	0
@PHRASEfeather	16.0	0.004747457577423022	5.3596	2019	2019	2025	7	2.5	1	0
@PHRASEjob	14.0	0.011582215305172035	4.5928	2011	2011	2016	6	1.5	1	0
@PHRASEhealth	28.0	0.009416343928062678	6.0735	1993	2021	2025	5	28.5	1	28
@PHRASEcommunity structure	20.0	0.0052902245087867086	5.6143	2007	2013	2018	6	7.5	1	6
@PHRASElogistic regressions	12.0	0.005254457345427899	5.7821	2003	2003	2012	10	3.5	1	0
@PHRASEsupport	51.0	0.04491848068019943	4.4936	1995	2021	2025	5	25.5	1	26
@PHRASEstructural balance	19.0	0.014657800771833224	3.9469	2008	2019	2021	3	7.5	1	11
@PHRASEnetworks	113.0	0.131594003396888	4.9345	1992	1998	2008	11	23.5	1	6
@PHRASEimpact	31.0	0.02155873328950252	5.2991	1997	2020	2025	6	23.5	1	23
@PHRASEp asterisk models	53.0	0.02135009177076485	7.2016	2009	2011	2017	7	6.5	1	2
@PHRASEname generator	12.0	0.0036469917038201294	4.4407	2015	2021	2022	2	6.5	1	6
@PHRASEaccuracy	20.0	0.025507191848838484	3.9414	2003	2003	2011	9	11.5	1	0
