Publication Years                            	   Record Count	         % of 301

2024                                         	             19	     6.312
2023                                         	             26	     8.638
2022                                         	             28	     9.302
2021                                         	             32	    10.631
2020                                         	             36	    11.960
2019                                         	             28	     9.302
2018                                         	             25	     8.306
2017                                         	             25	     8.306
2016                                         	             38	    12.625
2015                                         	             24	     7.973
2014                                         	             20	     6.645
