Affiliations                                 	   Record Count	         % of 301

AALBORG UNIVERSITY                           	              1	     0.332
AALTO UNIVERSITY                             	              2	     0.664
AARHUS UNIVERSITY                            	              2	     0.664
ABB                                          	              1	     0.332
ABDULLAH GUL UNIVERSITY                      	              1	     0.332
ACADEMIA SINICA TAIWAN                       	              1	     0.332
AGROPARISTECH                                	              1	     0.332
AIX MARSEILLE UNIVERSITE                     	              1	     0.332
ARIEL UNIVERSITY                             	              1	     0.332
ATLAS RES                                    	              1	     0.332
AUTONOMOUS UNIVERSITY OF BARCELONA           	              2	     0.664
BAR ILAN UNIVERSITY                          	              2	     0.664
BAYLOR UNIVERSITY                            	              1	     0.332
BEN GURION UNIVERSITY                        	              2	     0.664
BOSCH CTR ARTIFICIAL INTELLIGENCE            	              1	     0.332
BOSTON COLLEGE                               	              1	     0.332
BOSTON UNIVERSITY                            	              4	     1.329
BRAUDE ACADEMIC COLLEGE OF ENGINEERING       	              1	     0.332
BUCKNELL UNIVERSITY                          	              1	     0.332
BUDAPEST UNIVERSITY OF TECHNOLOGY ECONOMICS  	              1	     0.332
CALIFORNIA POLYTECHNIC STATE UNIVERSITY SAN L	              1	     0.332
UIS OBISPO                                   	               	          
CALIFORNIA STATE UNIVERSITY SYSTEM           	              1	     0.332
CARDINAL STEFAN WYSZYNSKI UNIVERSITY IN WARSA	              1	     0.332
W                                            	               	          
CARNEGIE MELLON UNIVERSITY                   	              5	     1.661
CARNEGIE MELLON UNIVERSITY IN QATAR          	              1	     0.332
CASE WESTERN RESERVE UNIVERSITY              	              1	     0.332
CATHOLIC UNIVERSITY OF AMERICA               	              1	     0.332
CENTERS FOR DISEASE CONTROL PREVENTION USA   	              1	     0.332
CENTRAL EUROPEAN UNIVERSITY                  	             14	     4.651
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE 	             13	     4.319
CNRS                                         	               	          
CEPII                                        	              1	     0.332
CHARLES UNIVERSITY PRAGUE                    	              1	     0.332
CHILDREN S HOSPITAL COLORADO                 	              1	     0.332
CHINESE ACADEMY OF SCIENCES                  	              1	     0.332
CHINESE UNIVERSITY OF HONG KONG              	              2	     0.664
CHUNG ANG UNIVERSITY                         	              1	     0.332
CIRAD                                        	              1	     0.332
CITY ST GEORGES UNIVERSITY OF LONDON         	              1	     0.332
CITY UNIVERSITY OF LONDON                    	              1	     0.332
CLEMSON UNIVERSITY                           	              1	     0.332
CNRS INSTITUTE FOR ENGINEERING SYSTEMS SCIENC	              1	     0.332
ES INSIS                                     	               	          
CNRS INSTITUTE FOR HUMANITIES SOCIAL SCIENCES	              1	     0.332
INSHS                                        	               	          
CNRS INSTITUTE OF PHYSICS INP                	              2	     0.664
CNRS NATIONAL INSTITUTE FOR MATHEMATICAL SCIE	              1	     0.332
NCES INSMI                                   	               	          
