Authors                                      	   Record Count	         % of 301

Aas K                                        	              1	     0.332
Abbate A                                     	              2	     0.664
Abbruzzo A                                   	              1	     0.332
Abrahao B                                    	              1	     0.332
Adams J                                      	              4	     1.329
Adhikari S                                   	              1	     0.332
Aghaei AM                                    	              1	     0.332
Agharkar P                                   	              1	     0.332
Aguiar I                                     	              1	     0.332
Ahn YY                                       	              1	     0.332
Alajaji F                                    	              1	     0.332
Albert R                                     	              1	     0.332
Algesheimer R                                	              1	     0.332
Almquist ZW                                  	              1	     0.332
Amati V                                      	              1	     0.332
Amighini A                                   	              1	     0.332
An WH                                        	              1	     0.332
Anderson KA                                  	              1	     0.332
Antunes N                                    	              1	     0.332
Ardjmand E                                   	              1	     0.332
Arena G                                      	              1	     0.332
Arenas A                                     	              1	     0.332
Armbruster B                                 	              1	     0.332
Armour C                                     	              1	     0.332
Arora V                                      	              1	     0.332
Atkisson C                                   	              1	     0.332
Avrachenkov K                                	              1	     0.332
Alós-ferrer C                                	              1	     0.332
Badham J                                     	              1	     0.332
Bagrow J                                     	              1	     0.332
Bagrow JP                                    	              1	     0.332
Bajic D                                      	              1	     0.332
Bakdash JZ                                   	              1	     0.332
Bakker SR                                    	              1	     0.332
Balduzzi D                                   	              1	     0.332
Banks D                                      	              1	     0.332
Barabasi AL                                  	             13	     4.319
Barahona M                                   	              1	     0.332
Barbosa VC                                   	              2	     0.664
Barnett I                                    	              1	     0.332
Barrat A                                     	              1	     0.332
Bartlett B                                   	              1	     0.332
Baybay M                                     	              1	     0.332
Beacom AM                                    	              1	     0.332
Bearman P                                    	              1	     0.332
Behler R                                     	              2	     0.664
Bell JR                                      	              1	     0.332
Benson AR                                    	              2	     0.664
Bernardes DF                                 	              1	     0.332
Betancourt N                                 	              1	     0.332
Bevelander KE                                	              1	     0.332
Bhutani KR                                   	              1	     0.332
Bijma F                                      	              1	     0.332
Birkett M                                    	              1	     0.332
Blitzstein J                                 	              1	     0.332
Block P                                      	              3	     0.997
Boda Z                                       	              1	     0.332
Boekhout HD                                  	              1	     0.332
Bojanowski M                                 	              1	     0.332
Boldi P                                      	              3	     0.997
Bonmarin I                                   	              1	     0.332
Bordin P                                     	              1	     0.332
Borkotokey S                                 	              1	     0.332
Boruah P                                     	              1	     0.332
Bothorel C                                   	              2	     0.664
Bouffanais R                                 	              1	     0.332
Box-steffensmeier JM                         	              1	     0.332
Bozzo E                                      	              1	     0.332
Bracken N                                    	              1	     0.332
Bradbury TN                                  	              1	     0.332
Brandes U                                    	              2	     0.664
Brantingham PJ                               	              1	     0.332
Brashears LA                                 	              1	     0.332
Brashears M                                  	              1	     0.332
Brashears ME                                 	              1	     0.332
Brask JB                                     	              1	     0.332
Bredereck R                                  	              1	     0.332
Briatte F                                    	              1	     0.332
Britton T                                    	              1	     0.332
Brot H                                       	              1	     0.332
Brown MM                                     	              1	     0.332
Brunson JC                                   	              1	     0.332
Buchler N                                    	              1	     0.332
Buckenmaier J                                	              1	     0.332
Buijs L                                      	              1	     0.332
Buijzen M                                    	              1	     0.332
Buldyrev SV                                  	              1	     0.332
Bullo F                                      	              2	     0.664
Burk WJ                                      	              1	     0.332
Burt RS                                      	              1	     0.332
Bush AN                                      	              1	     0.332
Buss S                                       	              1	     0.332
Butts C                                      	              1	     0.332
Butts CT                                     	              2	     0.664
Barabási AL                                  	             12	     3.987
Bedowska-sójka B                             	              1	     0.332
Beguerisse-díaz M                            	              1	     0.332
Bläsius T                                    	              2	     0.664
Brañas-garza P                               	              1	     0.332
Caimo A                                      	              1	     0.332
Cann TJB                                     	              1	     0.332
Cannon BC                                    	              1	     0.332
Cape J                                       	              1	     0.332
Carcelli S                                   	              1	     0.332
Carlen J                                     	              1	     0.332
Carscadden HL                                	              1	     0.332
Cassenti DN                                  	              1	     0.332
Chang CJ                                     	              1	     0.332
Chang CS                                     	              1	     0.332
Chang SS                                     	              1	     0.332
Charbey R                                    	              1	     0.332
Chawla NV                                    	              1	     0.332
Chen X                                       	              1	     0.332
Chen YZJ                                     	              1	     0.332
Cherifi H                                    	              2	     0.664
Chessa A                                     	              1	     0.332
Choi D                                       	              1	     0.332
Chowdhury MA                                 	              1	     0.332
Christenson DP                               	              1	     0.332
Christopoulos D                              	              2	     0.664
Chu KH                                       	              1	     0.332
Cieciuch J                                   	              1	     0.332
Clauset A                                    	              1	     0.332
Cockburn MG                                  	              1	     0.332
Cohen-cole E                                 	              1	     0.332
Contractor N                                 	              1	     0.332
Contractor NS                                	              3	     0.997
Cooper B                                     	              1	     0.332
Copeland M                                   	              1	     0.332
Corneli M                                    	              1	     0.332
Cornwell B                                   	              1	     0.332
Coskun M                                     	              1	     0.332
Cranmer SJ                                   	              4	     1.329
Cruz JD                                      	              1	     0.332
Coquidé C                                    	              1	     0.332
D'esposito MR                                	              1	     0.332
D'silva C                                    	              1	     0.332
D'souza RM                                   	              1	     0.332
Dao VL                                       	              1	     0.332
Davidov E                                    	              1	     0.332
Davidson G                                   	              1	     0.332
Davidson MW                                  	              1	     0.332
De Benedictis L                              	              3	     0.997
De Domenico M                                	              1	     0.332
De Gruttola V                                	              2	     0.664
De La Haye K                                 	              1	     0.332
De Lombaerde P                               	              1	     0.332
De Rougemont M                               	              1	     0.332
De Stefano D                                 	              2	     0.664
Deane CM                                     	              1	     0.332
Dechurch LA                                  	              2	     0.664
Decostanza AH                                	              1	     0.332
Dekker D                                     	              1	     0.332
Delvenne JC                                  	              1	     0.332
Diesner J                                    	              1	     0.332
Dijkstra J                                   	              1	     0.332
Dijkstra JK                                  	              1	     0.332
Dondi R                                      	              1	     0.332
Doreian P                                    	              1	     0.332
Douady S                                     	              1	     0.332
Dovrolis C                                   	              1	     0.332
Dunbar KD                                    	              1	     0.332
Duvoisin R                                   	              1	     0.332
Duxbury SW                                   	              1	     0.332
Dyballa L                                    	              1	     0.332
Edgerton JF                                  	              1	     0.332
Ehlert A                                     	              1	     0.332
Eliezer D                                    	              1	     0.332
Elmer T                                      	              2	     0.664
Emrich SJ                                    	              1	     0.332
Fagiolo G                                    	              3	     0.997
Farolfi F                                    	              1	     0.332
Feld SL                                      	              1	     0.332
Ferdig MT                                    	              1	     0.332
Ferligoj A                                   	              1	     0.332
Finney J                                     	              1	     0.332
Finomore V                                   	              1	     0.332
Fischer M                                    	              1	     0.332
Fisher JC                                    	              2	     0.664
Fitzhugh SM                                  	              1	     0.332
Flache A                                     	              2	     0.664
Fletcher J                                   	              1	     0.332
Florence C                                   	              1	     0.332
Flynt A                                      	              1	     0.332
Forman Y                                     	              1	     0.332
Fosdick BK                                   	              1	     0.332
Fotouhi B                                    	              1	     0.332
Fournet J                                    	              1	     0.332
Fowler JH                                    	              1	     0.332
Fracasso A                                   	              1	     0.332
Franceschet M                                	              1	     0.332
Frank KA                                     	              1	     0.332
Frank O                                      	              1	     0.332
Friedkin NE                                  	              2	     0.664
Friedman S                                   	              1	     0.332
Friedrich T                                  	              1	     0.332
Friel N                                      	              4	     1.329
Fritz C                                      	              2	     0.664
Fuccella V                                   	              1	     0.332
Fujimoto K                                   	              1	     0.332
Fujita A                                     	              1	     0.332
Fuller E                                     	              1	     0.332
Furia F                                      	              1	     0.332
Förster M                                    	              1	     0.332
Gabbay M                                     	              1	     0.332
Gaetano R                                    	              1	     0.332
Galeotti A                                   	              1	     0.332
Gallop M                                     	              1	     0.332
Gama J                                       	              1	     0.332
Ganguly N                                    	              1	     0.332
Gerdes LM                                    	              1	     0.332
Gesell SB                                    	              1	     0.332
Gharesifard B                                	              1	     0.332
Ghosh CC                                     	              1	     0.332
Giabbanelli PJ                               	              1	     0.332
Giannikos I                                  	              1	     0.332
Gilligan M                                   	              1	     0.332
Giordano S                                   	              1	     0.332
Giroire F                                    	              1	     0.332
Goldenberg J                                 	              1	     0.332
Gomes MFD                                    	              1	     0.332
Gonzaga FB                                   	              1	     0.332
Gorgoni S                                    	              1	     0.332
Goyal R                                      	              2	     0.664
Gravel J                                     	              1	     0.332
Grund T                                      	              1	     0.332
Grund TU                                     	              1	     0.332
Guex G                                       	              1	     0.332
Guo DL                                       	              1	     0.332
Guo TN                                       	              1	     0.332
Gusrialdi A                                  	              1	     0.332
Guzman GEC                                   	              1	     0.332
Gyorgy A                                     	              1	     0.332
García-macías A                              	              1	     0.332
Gärtner F                                    	              1	     0.332
Génois M                                     	              1	     0.332
Górski PJ                                    	              1	     0.332
Hachen D                                     	              1	     0.332
Hadley DW                                    	              1	     0.332
Haim DA                                      	              1	     0.332
Hajaj C                                      	              1	     0.332
Harder NL                                    	              1	     0.332
Harkin A                                     	              1	     0.332
Harling G                                    	              1	     0.332
Harper CR                                    	              1	     0.332
Harper MG                                    	              1	     0.332
Harris T                                     	              1	     0.332
Haunss S                                     	              1	     0.332
Hayashi Y                                    	              2	     0.664
Henry AD                                     	              1	     0.332
Henry T                                      	              1	     0.332
Henwood B                                    	              1	     0.332
Hildenbrand J                                	              1	     0.332
Hillmert S                                   	              1	     0.332
Hoffman M                                    	              1	     0.332
Hogan B                                      	              1	     0.332
Hollanders R                                 	              1	     0.332
Hollstein B                                  	              1	     0.332
Hollway J                                    	              3	     0.997
Holme P                                      	              1	     0.332
Holyst JA                                    	              1	     0.332
Hooijsma M                                   	              1	     0.332
Horn P                                       	              1	     0.332
Hoshino T                                    	              1	     0.332
Hosseinzadeh MM                              	              1	     0.332
Hou YF                                       	              1	     0.332
Hsieh WT                                     	              1	     0.332
Hsu HT                                       	              1	     0.332
Hui PM                                       	              1	     0.332
