Funding Agencies                             	   Record Count	         % of 301

2015 BEST CONFERENCE PAPER AWARD BY THE AMERI	              1	     0.332
CAN POLITICAL SCIENCE ASSOCIATION ORGANIZED SECTION ON POLITICAL NETWORKS	               	          
ABBVIE                                       	              1	     0.332
ACADEMIA SINICA TAIWAN                       	              1	     0.332
ACADEMY OF MEDICAL SCIENCES NEWTON FUND      	              1	     0.332
ACHESON J DUNCAN FUND FOR THE ADVANCEMENT OF 	              1	     0.332
RESEARCH IN STATISTICS AT JOHNS HOPKINS UNIVERSITY	               	          
ADOBE INC                                    	              1	     0.332
AGENCE NATIONALE DE LA RECHERCHE ANR         	              6	     1.993
AGENCY FOR HEALTHCARE RESEARCH QUALITY       	              1	     0.332
AIR FORCE OFFICE OF SCIENTIFIC RESEARCH AFOSR	              4	     1.329
ALEXANDER VON HUMBOLDT FOUNDATION            	              2	     0.664
ALFRED P SLOAN FOUNDATION                    	              2	     0.664
ALLYES                                       	              1	     0.332
ALZHEIMER S ASSOCIATION                      	              1	     0.332
ALZHEIMER S DRUG DISCOVERY FOUNDATION        	              1	     0.332
AMERICAN HEART ASSOCIATION                   	              1	     0.332
AMERICAN SOCIOLOGICAL ASSOCIATION FUND FOR TH	              1	     0.332
E ADVANCEMENT OF THE DISCIPLINE              	               	          
AMERICAN SOCIOLOGICAL ASSOCIATION S MATHEMATI	              1	     0.332
CAL SOCIOLOGY SECTION S OUTSTANDING DISSERTATION IN PROGRESS AWARD	               	          
ANR MN MONUMOVI                              	              1	     0.332
ARACLON BIOTECH                              	              1	     0.332
ARC VIA AUSTRALIAN LAUREATE FELLOWSHIP       	              1	     0.332
ARIEL CYBER INNOVATION CENTER                	              1	     0.332
ARIEL UNIVERSITY                             	              1	     0.332
ARL SENIOR FELLOWSHIP PROGRAM                	              1	     0.332
ARMY RESEARCH INSTITUTE FOR THE SOCIAL AND BE	              1	     0.332
HAVIORAL SCIENCES                            	               	          
ARMY RESEARCH OFFICE                         	              4	     1.329
ARO                                          	              2	     0.664
ARO MURI ARO AWARD                           	              1	     0.332
ARO YOUNG INVESTIGATOR AWARD                 	              1	     0.332
BARRIE DE LA MAZA GRADUATE FELLOWSHIP        	              1	     0.332
BASQUE GOVERNMENT                            	              1	     0.332
