Label,Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
"Boccaletti S, 2023, PHYS REP, V1018, P1, DOI 10.1016/j.physrep.2023.04.002",0,0.0,0.0,0.0,7.176579986197515e-75
"Allen-Perkins A, 2019, J STAT MECH-THEORY E, V2019, P0, DOI 10.1088/1742-5468/ab5700",3,0.005847953216374269,0.0,0.13134851423555638,4.703621934283068e-05
"Miklós I, 2013, ELECTRON J COMB, V20, P0",2,0.003898635477582846,0.0021549098440545806,0.0770706723235103,5.917069056699639e-08
"BORGATTI SP, 2011, ORGAN SCI, V22, P1168, DOI 10.1287/orsc.1100.0641",2,0.003898635477582846,0.0,0.10467654563246405,2.4728023454919028e-05
"Virtanen P, 2020, NAT METHODS, V17, P261, DOI 10.1038/s41592-019-0686-2",1,0.001949317738791423,0.0,0.001949317738791423,1.6548066791236449e-56
"Andjelkovic M, 2020, SCI REP-UK, V10, P0, DOI 10.1038/s41598-020-74392-3",7,0.01364522417153996,1.3498471557682081e-05,0.08058645389029268,1.1834383473634793e-07
"Rattana P, 2013, B MATH BIOL, V75, P466, DOI 10.1007/s11538-013-9816-7",1,0.001949317738791423,0.0,0.002599090318388564,1.369194125295638e-51
"Nyberg A, 2015, J COMPLEX NETW, V3, P543, DOI 10.1093/comnet/cnv004",2,0.003898635477582846,0.0,0.003898635477582846,9.126706142089442e-46
"van der Hofstad R, 2017, PHYS REV E, V95, P0, DOI 10.1103/PhysRevE.95.022307",2,0.003898635477582846,0.0,0.003898635477582846,9.126706142089442e-46
"Asztalos A, 2012, EUR PHYS J B, V85, P0, DOI 10.1140/epjb/e2012-30122-3",1,0.001949317738791423,0.0,0.11983549660058003,9.321980273293643e-05
"Holme P, 2019, NAT COMMUN, V10, P0, DOI 10.1038/s41467-019-09038-8",0,0.0,0.0,0.0,7.176579986197515e-75
"Angulo MT, 2021, NAT ECOL EVOL, V5, P1091, DOI 10.1038/s41559-021-01462-8",7,0.01364522417153996,1.3498471557682081e-05,0.08058645389029268,1.1834383473634793e-07
"Abiad A, 2020, ARXIV200803269, V0, P0",1,0.001949317738791423,0.0,0.09264830379490925,6.24111671126218e-08
"Alves CL, 2022, J PHYS-COMPLEXITY, V3, P0, DOI 10.1088/2632-072X/ac5f8d",4,0.007797270955165692,0.0,0.007797270955165692,3.1123454448205347e-32
"Ghasemian A, 2020, IEEE T KNOWL DATA EN, V32, P1722, DOI 10.1109/TKDE.2019.2911585",5,0.009746588693957114,0.0021549098440545806,0.08938270127342865,2.2278107247739162e-07
"Agnoloni T, 2014, P 2 INT WORKSH NETW, V0, P26",3,0.005847953216374269,0.0,0.098573148300916,1.4925901950596415e-06
"Lindquist J, 2011, J MATH BIOL, V62, P143, DOI 10.1007/s00285-010-0331-2",2,0.003898635477582846,7.614522417153996e-06,0.003898635477582846,1.9363329015146577e-51
"Traag VA, 2019, SCI REP-UK, V9, P0, DOI 10.1038/s41598-019-41695-z",0,0.0,0.0,0.0,7.176579986197515e-75
"Cantwell GT, 2019, P NATL ACAD SCI USA, V116, P23398, DOI 10.1073/pnas.1914893116",0,0.0,0.0,0.0,7.176579986197515e-75
"Pasqualetti F, 2014, IEEE T CONTROL NETW, V1, P40, DOI 10.1109/TCNS.2014.2310254",2,0.003898635477582846,0.0021549098440545806,0.1140131773313713,4.117468648748039e-05
"Rossetti G, 2018, ACM COMPUT SURV, V51, P0, DOI 10.1145/3172867",4,0.007797270955165692,0.0,0.13403595186697442,0.00010463031360516326
"Akbarzadeh M, 2018, NAT HUM BEHAV, V2, P645, DOI 10.1038/s41562-018-0407-3",1,0.001949317738791423,0.0,0.001949317738791423,1.6548066791236449e-56
"Estrada E, 2011, THE STRUCTURE OF COMPLEX NETWORKS: THEORY AND APPLICATIONS, V0, P0",6,0.011695906432748537,0.008528265107212475,0.12658951009658695,0.0003703822588608098
"Akiba Takuya, 2013, P ACM INT C MAN DAT, V0, PP349, DOI 10.1145/2463676.2465315",1,0.001949317738791423,0.0,0.001949317738791423,1.6548066791236449e-56
"Gallo L, 2022, COMMUN PHYS-UK, V5, P0, DOI 10.1038/s42005-022-01040-9",0,0.0,0.0,0.0,7.176579986197515e-75
"Unknown -, 2009, PERCOLATION ON INTERACTING NETWORKS, V0, P0",15,0.029239766081871343,0.0,0.10601764770058059,0.2489817146411183
"De Domenico M, 2013, PHYS REV X, V3, P0, DOI 10.1103/PhysRevX.3.041022",28,0.05458089668615984,0.017062678890124864,0.17126816071891177,0.004314968794641905
"Radicchi F, 2017, PHYS REV X, V7, P0, DOI 10.1103/PhysRevX.7.011013",9,0.017543859649122806,5.336271933857903e-05,0.1507422545924842,0.002233211267680786
"Huang S, 2024, INT J ADAPT CONTROL, V38, P437, DOI 10.1002/acs.3708",2,0.003898635477582846,0.0,0.01866165024059761,4.670926707601465e-15
"Mantzaris AV, 2013, J COMPLEX NETW, V1, P83, DOI 10.1093/comnet/cnt001",9,0.017543859649122806,0.0015477689567260265,0.15220152133587705,0.00028215072990586264
"Anderson D, 2020, MODEL SELECTION AND MULTI-MODEL INFERENCE, V0, PP10. 63, DOI 10.1007/B97636",0,0.0,0.0,0.0,7.176579986197515e-75
"DAgostino G, 2012, EPL-EUROPHYS LETT, V97, P0, DOI 10.1209/0295-5075/97/68006",4,0.007797270955165692,0.010622258771929825,0.13036830144275374,0.00018034884355501882
"Shahidinejad A, 2024, ACM COMPUT SURV, V56, P0, DOI 10.1145/3645087",3,0.005847953216374269,0.0005330165692007797,0.024709407263013503,3.9466529675981784e-14
"Benzi M, 2015, SIAM J MATRIX ANAL A, V36, P686, DOI 10.1137/130950550",0,0.0,0.0,0.0,7.176579986197515e-75
"Aste T, 2012, PHYS REV E, V86, P0, DOI 10.1103/PhysRevE.86.036109",2,0.003898635477582846,0.0,0.13358043461339084,0.00038670077262325256
"Ali SS, 2020, ONLINE SOCIAL NETWORKS AND MEDIA, V17, P0, DOI 10.1016/J.OSNEM.2020.100061",2,0.003898635477582846,0.0,0.0043859649122807015,2.673522268563294e-44
"Chodrow PS, 2020, J COMPLEX NETW, V8, P0, DOI 10.1093/comnet/cnaa018",4,0.007797270955165692,0.0,0.1084304631310076,1.2202799027691459e-06
"Dong JL, 2024, EXPERT SYST APPL, V236, P0, DOI 10.1016/j.eswa.2023.121292",12,0.023391812865497075,0.0006644120362757488,0.0386755939768907,9.779735342482168e-13
"Contreras-Aso G, 2023, CHAOS SOLITON FRACT, V177, P0, DOI 10.1016/j.chaos.2023.114200",0,0.0,0.0,0.0,7.176579986197515e-75
"Bashan A, 2013, NAT PHYS, V9, P667, DOI 10.1038/NPHYS2727",15,0.029239766081871343,0.0,0.10601764770058059,0.2489817146411183
"Cao YM, 2024, INT J ROBUST NONLIN, V34, P4769, DOI 10.1002/rnc.7231",7,0.01364522417153996,0.00010347391332405953,0.031769237909588785,4.196306765737299e-13
"Baryshnikova A, 2012, NAT METHODS, V9, P341, DOI 10.1038/nmeth.1936",2,0.003898635477582846,0.0,0.003898635477582846,9.126706142089442e-46
"Schneider CM, 2011, P NATL ACAD SCI USA, V108, P3838, DOI 10.1073/pnas.1009440108",2,0.003898635477582846,0.0,0.08724981772472863,1.7164689126380306e-06
