Label,Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
"Caimo A, 2013, SOC NETWORKS, V35, P11, DOI 10.1016/j.socnet.2012.10.003",4,0.0024449877750611247,0.0,0.10833569684855325,1.2323694005513667e-05
"POLLOCK GB, 1988, AM J PHYS ANTHROPOL, V77, P459, DOI 10.1002/ajpa.1330770407",3,0.0018337408312958435,0.0,0.06749429601112415,1.1781453094546128e-05
"ANTONUCCI TC, 1987, J GERONTOL, V42, P519, DOI 10.1093/geronj/42.5.519",4,0.0024449877750611247,0.0,0.09675848954088563,5.329393840267439e-05
"Burt RS, 2005, BROKERAGE AND CLOSURE, V0, P0",9,0.005501222493887531,0.0021921867156757223,0.10936366450116845,5.302184729479542e-05
"BUTCHER JN, 1985, J CONSULT CLIN PSYCH, V53, P803, DOI 10.1037/0022-006X.53.6.803",1,0.0006112469437652812,0.0,0.0006112469437652812,2.3601484716108725e-219
"Willer David, 1987, THEORY EXPT INVESTIG, V0, P0",2,0.0012224938875305623,0.0,0.0013891975994665482,6.296867921359261e-154
"PATTON T, 1990, J MATH SOCIOL, V16, P31, DOI 10.1080/0022250X.1990.9990077",2,0.0012224938875305623,2.9908107340197244e-06,0.0016979081771257812,3.310182368049793e-154
"BURT RS, 1990, SOC NETWORKS, V12, P83, DOI 10.1016/0378-8733(90)90023-3",15,0.009168704156479218,0.0009551235164088484,0.11777827682152765,0.0011887328621576743
"DARROW WW, 1983, COMMUNICATION, V0, P0",2,0.0012224938875305623,0.0,0.0862697874781144,0.0002263899433885391
"Block P, 2018, SOC NETWORKS, V52, P180, DOI 10.1016/j.socnet.2017.08.001",7,0.004278728606356968,6.236822107602677e-05,0.08769062894749974,3.969464928860315e-08
"Agneessens F, 2008, REV FR SOCIOL, V49, P613, DOI 10.3917/rfs.493.0613",8,0.004889975550122249,0.00010260533550453023,0.11495889540031295,0.00027818913403264054
"Clarsen B, 2021, BMC PUBLIC HEALTH, V21, P0, DOI 10.1186/s12889-021-10764-2",2,0.0012224938875305623,0.0,0.0012224938875305623,2.487448444635781e-175
"Ripley RM, 2018, MANUAL FOR RSIENA, V0, P0",2,0.0012224938875305623,0.0009832185186758912,0.1095961188725212,1.414509200531812e-06
"Brailly J, 2016, SOC NETWORKS, V44, P319, DOI 10.1016/j.socnet.2015.03.005",3,0.0018337408312958435,0.0,0.10358212165378168,6.622389376369186e-07
"Gronow A, 2019, POLICY STUD J, V47, P854, DOI 10.1111/psj.12185",12,0.007334963325183374,0.00162782687579845,0.08867484672352163,1.0330378337743655e-07
"BROWN JK, 1982, CURR ANTHROPOL, V23, P143, DOI 10.1086/202799",0,0.0,0.0,0.0,1.304488961016322e-294
"Hamilton M, 2020, SOC NETWORKS, V61, P1, DOI 10.1016/j.socnet.2019.08.002",2,0.0012224938875305623,0.0,0.0016979081771257812,9.600560334447003e-155
"BIAN Y, 1994, C TIANJ TOD EM CIV S, V0, P0",2,0.0012224938875305623,0.0,0.0012224938875305623,2.487448444635781e-175
"BIANCHI S, 1995, STATE UNION AM 1990S, V0, P107",0,0.0,0.0,0.0,1.304488961016322e-294
"FRIEDKIN NE, 1991, AM J SOCIOL, V96, P1478, DOI 10.1086/229694",2,0.0012224938875305623,0.0,0.0012224938875305623,2.487448444635781e-175
"Golder SA, 2014, ANNU REV SOCIOL, V40, P129, DOI 10.1146/annurev-soc-071913-043145",4,0.0024449877750611247,0.0010985379100285535,0.10066581448843681,2.284609069529539e-07
"Bian YJ, 1997, AM SOCIOL REV, V62, P366, DOI 10.2307/2657311",2,0.0012224938875305623,0.0,0.08639912748932596,3.849014584734383e-08
"Aref S, 2020, SCI REP-UK, V10, P0, DOI 10.1038/s41598-020-58471-z",2,0.0012224938875305623,0.0,0.0973739893252626,3.1764071558257595e-07
"ATKIN RH, 1976, INT J MAN MACH STUD, V8, P483, DOI 10.1016/S0020-7373(76)80015-6",3,0.0018337408312958435,0.0,0.0747904196199303,0.012629674754052475
"Brandes U, 2009, 2009 INTERNATIONAL CONFERENCE ON ADVANCES IN SOCIAL NETWORKS ANALYSIS AND MINING, V0, PP200, DOI 10.1109/ASONAM.2009.28",6,0.003667481662591687,0.00044133617624933833,0.11928402612948583,0.0006945482785027371
"BOYD JP, 1983, RES METHODS SOCIAL N, V0, P0",0,0.0,0.0,0.0,1.304488961016322e-294
"ANDERSON RM, 1992, SOC SCI MED, V34, P271, DOI 10.1016/0277-9536(92)90269-V",0,0.0,0.0,0.0,1.304488961016322e-294
