Document Type,Authors,Title,Journal,Year,Citations,Keywords,DOI,Affiliations,References
J,"['Kivela, M']",Multilayer networks,JOURNAL OF COMPLEX NETWORKS,2014,2284,"['multilayer networks; dynamical systems on networks; models of networks;', 'WEB, V16, P567, DOI 10.1007/s11280-012-0190-4', 'RANDOM GRAPH MODELS; P-ASTERISK MODELS; SOCIAL NETWORKS; MULTILEVEL']",10.1093/comnet/cnu016,"['Porter, MA (corresponding author), Univ Oxford, Math Inst, Oxford Ctr Ind & Appl Math, Oxford OX2 6GG, England.; Porter, MA (corresponding author), Univ Oxford, CABDyN Complex Ctr, Oxford OX1 1HP, England.']","['Acar E, 2009, IEEE T KNOWL DATA EN, V21, P6, DOI 10.1109/TKDE.2008.112']"
J,"['Rozemberczki, B']",Multi-Scale attributed node embedding,JOURNAL OF COMPLEX NETWORKS,2021,279,"['node embedding; node classification; attributed network; dimensionality', 'WEB (WWW 2015), P1067, DOI 10.1145/2736277.2741093']",10.1093/comnet/cnab014,"['Rozemberczki, B (corresponding author), Univ Edinburgh, Sch Informat, 10 Crichton St, Edinburgh EH8 9AB, Midlothian, Scotland.']","['Abu-El-Haija Sami, 2018, Advances in neural information processing systems, P9180']"
J,"['Csermely, P']",Structure and dynamics of core/periphery networks,JOURNAL OF COMPLEX NETWORKS,2013,262,"['bow-tie networks; core/periphery networks; nested networks; onion', 'DISENTANGLING NESTEDNESS; CONNECTIVITY STRUCTURE; COMMUNITY STRUCTURE;']",10.1093/comnet/cnt016,"['Csermely, P (corresponding author), Semmelweis Univ, Dept Med Chem, POB 260, H-1444 Budapest, Hungary.']","['Aftabuddin M, 2007, BIOPHYS J, V93, P225, DOI 10.1529/biophysj.106.098004']"
J,"['De Domenico, M']",MuxViz: a tool for multilayer analysis and visualization of networks,JOURNAL OF COMPLEX NETWORKS,2015,238,"['multilayer networks; software; visualization; multiplex networks;', 'COMPLEX NETWORKS; BRAIN NETWORKS; GRAPH; ORGANIZATION; TRANSITION;']",10.1093/comnet/cnu038,"['De Domenico, M (corresponding author), Univ Rovira & Virgili, Dept Engn Informat & Matemat, E-43007 Tarragona, Spain.']","['[Anonymous], 2011, PHYS REP, DOI DOI 10.1016/j.physrep.2010.11.002']"
J,"['Jalili, M']",Information cascades in complex networks,JOURNAL OF COMPLEX NETWORKS,2017,206,"['complex network; social dynamics; centrality measure; information', 'ONLINE SOCIAL NETWORKS; CONTINUOUS OPINION DYNAMICS; BOUNDED CONFIDENCE;']",10.1093/comnet/cnx019,"['Jalili, M (corresponding author), RMIT Univ, Sch Engn, Swanston St, Melbourne, Vic 3001, Australia.']","['Abbasi A, 2011, J INFORMETR, V5, P594, DOI 10.1016/j.joi.2011.05.007', 'ALG']"
J,"['Aicher, C']",Learning latent block structure in weighted networks,JOURNAL OF COMPLEX NETWORKS,2015,182,"['community detection; weighted relational data; block models; exponential', 'STOCHASTIC BLOCKMODELS']",10.1093/comnet/cnu026,"['Aicher, C (corresponding author), Univ Colorado, Dept Appl Math, Boulder, CO 80309 USA.']","['Airoldi EM, 2008, J MACH LEARN RES, V9, P1981']"
J,"['Noldus, R']",Assortativity in complex networks,JOURNAL OF COMPLEX NETWORKS,2015,157,"['assortativity; network; graph; graph spectrum; robustness; degree;', 'EVOLUTION']",10.1093/comnet/cnv005,"['Noldus, R (corresponding author), Ericsson Telecommun, Herzogenrath, Germany.']","['[Anonymous], 2010, Graph Spectra for Complex Networks']"
J,"['Benzi, M']",Total communicability as a centrality measure,JOURNAL OF COMPLEX NETWORKS,2013,130,"['centrality; communicability; adjacency matrix; matrix functions; network', 'KRYLOV SUBSPACE METHOD; MATRIX; NETWORK']",10.1093/comnet/cnt007,"['Benzi, M (corresponding author), Emory Univ, Dept Math & Comp Sci, Atlanta, GA 30322 USA.']","['Afanasjew M, 2008, LINEAR ALGEBRA APPL, V429, P2293, DOI 10.1016/j.laa.2008.06.029']"
J,"['Papadopoulos, L']",Network analysis of particles and grains,JOURNAL OF COMPLEX NETWORKS,2018,126,"['granular materials; particulate systems; networks; multiscale', 'FORCE CHAIN NETWORKS; GRANULAR-MATERIALS; COMPLEX NETWORKS; COMMUNITY', 'IN, V6, P197, DOI 10.1016/S1359-0294(01)00084-X']",10.1093/comnet/cny005,"['Bassett, DS (corresponding author), Univ Penn, Dept Phys & Astron, Philadelphia, PA 19104 USA.; Bassett, DS (corresponding author), Univ Penn, Dept Bioengn, Philadelphia, PA 19104 USA.; Bassett, DS (corresponding author), Univ Penn, Dept Elect & Syst Engn, Philadelphia, PA 19104 USA.']","['Abhilash AS, 2014, BIOPHYS J, V107, P1829, DOI 10.1016/j.bpj.2014.08.029', 'MECANIQUE, V338, P556, DOI 10.1016/j.crme.2010.09.004']"
J,"['Massara, GP']",Network Filtering for Big Data: Triangulated Maximally Filtered Graph,JOURNAL OF COMPLEX NETWORKS,2017,119,['TMFG; big data; network filtering; PMFG; planarization algorithms;'],10.1093/comnet/cnw015,"['Aste, T (corresponding author), UCL, Dept Comp Sci, Gower St, London WC1E 6BT, England.; Aste, T (corresponding author), London Sch Econ & Polit Sci, Syst Risk Ctr, London WC2A2AE, England.']","['Alexander JW, 1930, ANN MATH, V31, P292, DOI 10.2307/1968099', 'MEMS NA']"
