Document Type,Authors,Title,Journal,Year,Citations,Keywords,DOI,Affiliations,References
J,"['FREEMAN, LC']",CENTRALITY IN SOCIAL NETWORKS CONCEPTUAL CLARIFICATION,SOCIAL NETWORKS,1979,10811,[],10.1016/0378-8733(78)90021-7,"['FREEMAN, LC (corresponding author), LEHIGH UNIV,DEPT SOCIAL RELAT,BETHLEHEM,PA 18015, USA.']","['[Anonymous], SOC SCI RES']"
J,"['Opsahl, T']",Node centrality in weighted networks: Generalizing degree and shortest,SOCIAL NETWORKS,2010,2269,"['Degree; Closeness; Betweenness; Weighted networks', 'STRENGTH']",10.1016/j.socnet.2010.03.006,"['Opsahl, T (corresponding author), Univ London Imperial Coll Sci Technol & Med, Imperial Coll Business Sch, London SW7 2AZ, England.']","['[Anonymous], 1959, NUMER MATH, DOI [10.1007/BF01386390, DOI 10.1007/BF01386390]']"
J,"['Borgatti, SP']",Centrality and network flow,SOCIAL NETWORKS,2005,2108,"['centrality; network flow; typology', 'C, 1978, UNPUB NEW STATUS SCO', 'CLIQUE IDENTIFICATION']",10.1016/j.socnet.2004.11.008,"['Borgatti, SP (corresponding author), Boston Coll, Carroll Sch Management, Dept Org Studies, Chestnut Hill, MA 02467 USA.']","['[Anonymous], SITUATED LEARNING']"
J,"['Adamic, LA']",Friends and neighbors on the Web,SOCIAL NETWORKS,2003,1786,"['homepage analysis; small worlds; Web communities', 'NETWORKS; GRAPH', 'WE, P189']",10.1016/S0378-8733(03)00009-1,"['Adamic, LA (corresponding author), HP Labs, 1501 Page Mill Rd, Palo Alto, CA 94304 USA.']","['ADAMIC L, 1999, P EUR C DIG LIB']"
J,"['HOLLAND, PW']",STOCHASTIC BLOCKMODELS - 1ST STEPS,SOCIAL NETWORKS,1983,1690,[],10.1016/0378-8733(83)90021-7,"['HOLLAND, PW (corresponding author), EDUC TESTING SERV,PRINCETON,NJ 08541, USA.']","['[Anonymous], 1969, THESIS CORNELL U']"
J,"['Newman, MEJ']",A measure of betweenness centrality based on random walks,SOCIAL NETWORKS,2005,1420,['centrality; betweenness; random walks; current flow'],10.1016/j.socnet.2004.11.009,"['Univ Michigan, Ctr Complex Syst, Ann Arbor, MI 48109 USA.']","['Ahuja RK., 1993, Network Flows: Theory, Algorithms, and Applications']"
J,"['Snijders, TAB']",Introduction to stochastic actor-based models for network dynamics,SOCIAL NETWORKS,2010,1312,"['Statistical modeling; Longitudinal; Markov chain; Agent-based model;', 'INTERPERSONAL-RELATIONS; SOCIAL NETWORKS; ORIENTED MODELS']",10.1016/j.socnet.2009.02.004,"['Snijders, TAB (corresponding author), Univ Oxford, Grote Rozenstr 31, NL-9712 TG Groningen, Netherlands.']","['[Anonymous], 2014, Categorical Data Analysis']"
J,"['Borgatti, SP']",Models of core/periphery structures,SOCIAL NETWORKS,1999,1282,"['core; periphery; algorithm', 'NETWORK ANALYSIS; CENTRALITY']",,"['Borgatti, SP (corresponding author), Boston Coll, Dept Org Studies, Carroll Sch Management, Chestnut Hill, MA 02467 USA.']","['ALBA RD, 1978, SOCIOL METHOD RES, V7, P167, DOI 10.1177/004912417800700204']"
J,"['Robins, G']",An introduction to exponential random graph (<i>p*</i>) models for,SOCIAL NETWORKS,2007,1227,"['exponential random graph models; statistical models for social networks;', 'LOGIT-MODELS; LOGISTIC REGRESSIONS; FAMILY']",10.1016/j.socnet.2006.08.002,"['Robins, G (corresponding author), Univ Melbourne, Sch Behav Sci, Dept Psychol, Melbourne, Vic 3010, Australia.']","['Anderson CJ, 1999, SOC NETWORKS, V21, P37, DOI 10.1016/S0378-8733(98)00012-4', 'M, V55, P349']"
J,"['SEIDMAN, SB']",NETWORK STRUCTURE AND MINIMUM DEGREE,SOCIAL NETWORKS,1983,1184,[],10.1016/0378-8733(83)90028-X,"['SEIDMAN, SB (corresponding author), GEORGE MASON UNIV,DEPT MATH SCI,FAIRFAX,VA 22030, USA.']","['ALBA RD, 1973, J MATH SOCIOL, V3, P113, DOI 10.1080/0022250X.1973.9989826']"
