Affiliations                                 	   Record Count	       % of 1,557

UNIVERSITY OF CALIFORNIA SYSTEM              	            171	    10.983
UNIVERSITY OF CALIFORNIA IRVINE              	             86	     5.523
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER ED	             73	     4.689
UCATION PCSHE                                	               	          
UNIVERSITY OF GRONINGEN                      	             66	     4.239
UNIVERSITY OF OXFORD                         	             55	     3.532
UNIVERSITY OF PITTSBURGH                     	             52	     3.340
UTRECHT UNIVERSITY                           	             47	     3.019
UNIVERSITY OF CHICAGO                        	             41	     2.633
UNIVERSITY OF MELBOURNE                      	             41	     2.633
UNIVERSITY OF SOUTH CAROLINA COLUMBIA        	             41	     2.633
UNIVERSITY OF SOUTH CAROLINA SYSTEM          	             41	     2.633
UNIVERSITY OF LJUBLJANA                      	             36	     2.312
STATE UNIVERSITY SYSTEM OF FLORIDA           	             35	     2.248
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE 	             34	     2.184
CNRS                                         	               	          
UNIVERSITY OF NORTH CAROLINA                 	             31	     1.991
HARVARD UNIVERSITY                           	             30	     1.927
UNIVERSITY OF GREENWICH                      	             30	     1.927
UNIVERSITY OF ILLINOIS SYSTEM                	             30	     1.927
UNIVERSITY OF MANCHESTER                     	             30	     1.927
UNIVERSITY OF MICHIGAN                       	             29	     1.863
UNIVERSITY OF MICHIGAN SYSTEM                	             29	     1.863
NORTHWESTERN UNIVERSITY                      	             28	     1.798
UNIVERSITY OF AMSTERDAM                      	             28	     1.798
UNIVERSITY OF CALIFORNIA SANTA BARBARA       	             28	     1.798
UNIVERSITY OF KENTUCKY                       	             28	     1.798
UNIVERSITY SYSTEM OF OHIO                    	             28	     1.798
CORNELL UNIVERSITY                           	             27	     1.734
UNIVERSITY OF CALIFORNIA LOS ANGELES         	             27	     1.734
COLUMBIA UNIVERSITY                          	             24	     1.541
MICHIGAN STATE UNIVERSITY                    	             23	     1.477
OHIO STATE UNIVERSITY                        	             23	     1.477
STANFORD UNIVERSITY                          	             23	     1.477
STATE UNIVERSITY OF NEW YORK SUNY SYSTEM     	             23	     1.477
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL     	             23	     1.477
UNIVERSITY OF SOUTHERN CALIFORNIA            	             23	     1.477
SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN	             22	     1.413
UNIVERSITY OF FLORIDA                        	             22	     1.413
UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN      	             22	     1.413
TILBURG UNIVERSITY                           	             21	     1.349
UNIVERSITY OF LONDON                         	             21	     1.349
UNIVERSITY OF TORONTO                        	             21	     1.349
CARNEGIE MELLON UNIVERSITY                   	             20	     1.285
UNIVERSITY OF WASHINGTON                     	             20	     1.285
UNIVERSITY OF WASHINGTON SEATTLE             	             20	     1.285
ARIZONA STATE UNIVERSITY                     	             19	     1.220
STOCKHOLM UNIVERSITY                         	             19	     1.220
DUKE UNIVERSITY                              	             18	     1.156
PENNSYLVANIA STATE UNIVERSITY                	             18	     1.156
UNIVERSITA DELLA SVIZZERA ITALIANA           	             18	     1.156
ETH ZURICH                                   	             17	     1.092
PENNSYLVANIA STATE UNIVERSITY UNIVERSITY PARK	             17	     1.092
UNIVERSITY OF TEXAS SYSTEM                   	             17	     1.092
VRIJE UNIVERSITEIT AMSTERDAM                 	             17	     1.092
ARIZONA STATE UNIVERSITY TEMPE               	             16	     1.028
UNIVERSITY OF MASSACHUSETTS SYSTEM           	             16	     1.028
INDIANA UNIVERSITY SYSTEM                    	             14	     0.899
UNIVERSITY OF CALIFORNIA BERKELEY            	             14	     0.899
UNIVERSITY OF KONSTANZ                       	             14	     0.899
UNIVERSITY OF MASSACHUSETTS AMHERST          	             14	     0.899
AUTONOMOUS UNIVERSITY OF BARCELONA           	             13	     0.835
INDIANA UNIVERSITY BLOOMINGTON               	             13	     0.835
RUTGERS UNIVERSITY NEW BRUNSWICK             	             13	     0.835
RUTGERS UNIVERSITY SYSTEM                    	             13	     0.835
UNIVERSITY OF MINNESOTA SYSTEM               	             13	     0.835
UNIVERSITY OF MINNESOTA TWIN CITIES          	             13	     0.835
ACADEMIA SINICA TAIWAN                       	             12	     0.771
BOSTON COLLEGE                               	             12	     0.771
