Authors                                      	   Record Count	       % of 1,557

Doreian P                                    	             36	     2.312
Borgatti SP                                  	             35	     2.248
Everett MG                                   	             34	     2.184
Burt RS                                      	             29	     1.863
Robins G                                     	             20	     1.285
Snijders TAB                                 	             19	     1.220
Butts CT                                     	             18	     1.156
Bonacich P                                   	             16	     1.028
Wang P                                       	             16	     1.028
Bernard HR                                   	             14	     0.899
Faust K                                      	             14	     0.899
Friedkin NE                                  	             14	     0.899
Freeman LC                                   	             13	     0.835
Johnsen EC                                   	             13	     0.835
Killworth PD                                 	             13	     0.835
Lomi A                                       	             13	     0.835
Marsden PV                                   	             13	     0.835
Koskinen J                                   	             12	     0.771
Mccarty C                                    	             12	     0.771
Moody J                                      	             12	     0.771
Valente TW                                   	             12	     0.771
Ferligoj A                                   	             11	     0.706
Skvoretz J                                   	             11	     0.706
Agneessens F                                 	             10	     0.642
Buskens V                                    	             10	     0.642
Pattison P                                   	             10	     0.642
Pattison PE                                  	             10	     0.642
Wellman B                                    	             10	     0.642
Batagelj V                                   	              9	     0.578
Boyd JP                                      	              9	     0.578
Fu YC                                        	              9	     0.578
Krackhardt D                                 	              9	     0.578
Labianca G                                   	              9	     0.578
Lazega E                                     	              9	     0.578
Fararo TJ                                    	              8	     0.514
Hipp JR                                      	              8	     0.514
Morselli C                                   	              8	     0.514
Shelley GA                                   	              8	     0.514
Stadtfeld C                                  	              8	     0.514
Steglich C                                   	              8	     0.514
Brewer DD                                    	              7	     0.450
Johnson JC                                   	              7	     0.450
Matous P                                     	              7	     0.450
Mcfarland DA                                 	              7	     0.450
Neal ZP                                      	              7	     0.450
Schaefer DR                                  	              7	     0.450
Stark TH                                     	              7	     0.450
Brandes U                                    	              6	     0.385
Brashears ME                                 	              6	     0.385
Breiger RL                                   	              6	     0.385
Bright D                                     	              6	     0.385
Corten R                                     	              6	     0.385
Fischer CS                                   	              6	     0.385
Flap H                                       	              6	     0.385
Fujimoto K                                   	              6	     0.385
Hummon NP                                    	              6	     0.385
Lubbers MJ                                   	              6	     0.385
Lusher D                                     	              6	     0.385
Mizruchi MS                                  	              6	     0.385
Molina JL                                    	              6	     0.385
Mrvar A                                      	              6	     0.385
Prell C                                      	              6	     0.385
Quintane E                                   	              6	     0.385
Roberts JM                                   	              6	     0.385
Robins GL                                    	              6	     0.385
Squazzoni F                                  	              6	     0.385
Wasserman S                                  	              6	     0.385
White DR                                     	              6	     0.385
An WH                                        	              5	     0.321
Bianchi F                                    	              5	     0.321
Block P                                      	              5	     0.321
Boda Z                                       	              5	     0.321
Bouchard M                                   	              5	     0.321
Bruggeman J                                  	              5	     0.321
Carley KM                                    	              5	     0.321
Desmarais BA                                 	              5	     0.321
Frank O                                      	              5	     0.321
Friel N                                      	              5	     0.321
Gondal N                                     	              5	     0.321
Hlebec V                                     	              5	     0.321
Hogan B                                      	              5	     0.321
Iacobucci D                                  	              5	     0.321
Klovdahl AS                                  	              5	     0.321
Lerner J                                     	              5	     0.321
Lin N                                        	              5	     0.321
Martin JL                                    	              5	     0.321
Mollenhorst G                                	              5	     0.321
Neal JW                                      	              5	     0.321
Pallotti F                                   	              5	     0.321
Romney AK                                    	              5	     0.321
Schneider JA                                 	              5	     0.321
Tindall DB                                   	              5	     0.321
Tranmer M                                    	              5	     0.321
Van Duijn MAJ                                	              5	     0.321
Van Tubergen F                               	              5	     0.321
Veenstra R                                   	              5	     0.321
Vörös A                                      	              5	     0.321
Ziberna A                                    	              5	     0.321
Adams J                                      	              4	     0.257
Bellotti E                                   	              4	     0.257
Berkowitz SD                                 	              4	     0.257
Bojanowski M                                 	              4	     0.257
Borgatti S                                   	              4	     0.257
Borm P                                       	              4	     0.257
Caimo A                                      	              4	     0.257
Chiang YS                                    	              4	     0.257
Coenders G                                   	              4	     0.257
Contractor N                                 	              4	     0.257
Degenne A                                    	              4	     0.257
Diani M                                      	              4	     0.257
Dunbar RIM                                   	              4	     0.257
Duquenne V                                   	              4	     0.257
Faris R                                      	              4	     0.257
Feld SL                                      	              4	     0.257
Frank KA                                     	              4	     0.257
Grossetti M                                  	              4	     0.257
González-bailón S                            	              4	     0.257
Hammer M                                     	              4	     0.257
Harary F                                     	              4	     0.257
Harrigan N                                   	              4	     0.257
Hoffman M                                    	              4	     0.257
Jasny L                                      	              4	     0.257
Kauermann G                                  	              4	     0.257
Leszczensky L                                	              4	     0.257
Lizardo O                                    	              4	     0.257
Lloyd P                                      	              4	     0.257
Mcmillan C                                   	              4	     0.257
Morris M                                     	              4	     0.257
Mulder J                                     	              4	     0.257
Nordlund C                                   	              4	     0.257
Peng SY                                      	              4	     0.257
Perry BL                                     	              4	     0.257
Pfeffer J                                    	              4	     0.257
Reitz KP                                     	              4	     0.257
Roth AR                                      	              4	     0.257
Ruan DC                                      	              4	     0.257
Schoch D                                     	              4	     0.257
Seidman SB                                   	              4	     0.257
Sewell DK                                    	              4	     0.257
Simpson B                                    	              4	     0.257
Simpson CR                                   	              4	     0.257
Smith JA                                     	              4	     0.257
Snijders T                                   	              4	     0.257
Takács K                                     	              4	     0.257
Van Assen MALM                               	              4	     0.257
Volker B                                     	              4	     0.257
Völker B                                     	              4	     0.257
Wang C                                       	              4	     0.257
Willer D                                     	              4	     0.257
Wittek R                                     	              4	     0.257
Yamaguchi K                                  	              4	     0.257
Baerveldt C                                  	              3	     0.193
Basov N                                      	              3	     0.193
Bian YJ                                      	              3	     0.193
Bidart C                                     	              3	     0.193
Bienenstock EJ                               	              3	     0.193
Birkett M                                    	              3	     0.193
Boessen A                                    	              3	     0.193
Box-steffensmeier JM                         	              3	     0.193
Broccatelli C                                	              3	     0.193
Brusco M                                     	              3	     0.193
Campbell BW                                  	              3	     0.193
Carley K                                     	              3	     0.193
Carrington PJ                                	              3	     0.193
Christakis NA                                	              3	     0.193
Christenson DP                               	              3	     0.193
Chua V                                       	              3	     0.193
Conti N                                      	              3	     0.193
Contractor NS                                	              3	     0.193
Corman SR                                    	              3	     0.193
Cornwell B                                   	              3	     0.193
Cranmer SJ                                   	              3	     0.193
Cross R                                      	              3	     0.193
D'angelo A                                   	              3	     0.193
De La Haye K                                 	              3	     0.193
De Nooy W                                    	              3	     0.193
Doehne M                                     	              3	     0.193
Diviák T                                     	              3	     0.193
Ertan G                                      	              3	     0.193
Everett M                                    	              3	     0.193
Felmlee D                                    	              3	     0.193
Foster BL                                    	              3	     0.193
Fowler JH                                    	              3	     0.193
Gamper M                                     	              3	     0.193
Gladstone E                                  	              3	     0.193
Grofman B                                    	              3	     0.193
Hamers H                                     	              3	     0.193
Hamilton M                                   	              3	     0.193
Handcock MS                                  	              3	     0.193
Herz A                                       	              3	     0.193
Hopkins N                                    	              3	     0.193
Hurlbert JS                                  	              3	     0.193
Hwang JS                                     	              3	     0.193
Janulis P                                    	              3	     0.193
Jones P                                      	              3	     0.193
Kadushin C                                   	              3	     0.193
Kirke DM                                     	              3	     0.193
Kitts JA                                     	              3	     0.193
Kochen M                                     	              3	     0.193
Kogovsek T                                   	              3	     0.193
Krause RW                                    	              3	     0.193
Kreager DA                                   	              3	     0.193
Kroneberg C                                  	              3	     0.193
Kruse H                                      	              3	     0.193
Kovács B                                     	              3	     0.193
Lai G                                        	              3	     0.193
Lee F                                        	              3	     0.193
Leenders RTAJ                                	              3	     0.193
Lindelauf R                                  	              3	     0.193
Lubell M                                     	              3	     0.193
Lungeanu A                                   	              3	     0.193
Marineau JE                                  	              3	     0.193
Markovsky B                                  	              3	     0.193
Maya-jariego I                               	              3	     0.193
Morgan DL                                    	              3	     0.193
Nagle NN                                     	              3	     0.193
Neuman EJ                                    	              3	     0.193
Opsahl T                                     	              3	     0.193
Owen G                                       	              3	     0.193
Phillips G                                   	              3	     0.193
Raabe IJ                                     	              3	     0.193
Raub W                                       	              3	     0.193
Rice RE                                      	              3	     0.193
Roberts SGB                                  	              3	     0.193
Roth C                                       	              3	     0.193
Ryan L                                       	              3	     0.193
Schweizer T                                  	              3	     0.193
Small ML                                     	              3	     0.193
Smith S                                      	              3	     0.193
Spelta A                                     	              3	     0.193
Stokman FN                                   	              3	     0.193
Stulp G                                      	              3	     0.193
Stys P                                       	              3	     0.193
Stocké V                                     	              3	     0.193
Tolsma J                                     	              3	     0.193
Tubaro P                                     	              3	     0.193
Tutzauer F                                   	              3	     0.193
Vacca R                                      	              3	     0.193
Van De Rijt A                                	              3	     0.193
Weller SC                                    	              3	     0.193
Windzio M                                    	              3	     0.193
Wit EC                                       	              3	     0.193
Wu J                                         	              3	     0.193
Yap J                                        	              3	     0.193
Abell P                                      	              2	     0.128
Ackland R                                    	              2	     0.128
Acton RM                                     	              2	     0.128
Adar E                                       	              2	     0.128
Anderson CJ                                  	              2	     0.128
Arabie P                                     	              2	     0.128
Baker WE                                     	              2	     0.128
Balume B                                     	              2	     0.128
Barnes GR                                    	              2	     0.128
Barnes ML                                    	              2	     0.128
Barnett GA                                   	              2	     0.128
Bastani S                                    	              2	     0.128
Bastos FI                                    	              2	     0.128
Basu R                                       	              2	     0.128
Baum DS                                      	              2	     0.128
Bell DC                                      	              2	     0.128
Bien W                                       	              2	     0.128
Bilecen B                                    	              2	     0.128
Bohn A                                       	              2	     0.128
Bolland JM                                   	              2	     0.128
Borge-holthoefer J                           	              2	     0.128
Boster JS                                    	              2	     0.128
Boyd J                                       	              2	     0.128
Brailly J                                    	              2	     0.128
Brass DJ                                     	              2	     0.128
Braun N                                      	              2	     0.128
Bravo A                                      	              2	     0.128
Bravo G                                      	              2	     0.128
Breiger R                                    	              2	     0.128
Brewer R                                     	              2	     0.128
Browne A                                     	              2	     0.128
Brusco MJ                                    	              2	     0.128
Buchta C                                     	              2	     0.128
Butts D                                      	              2	     0.128
Bodin Ö                                      	              2	     0.128
Calderoni F                                  	              2	     0.128
Cameron CJ                                   	              2	     0.128
Campbell KE                                  	              2	     0.128
Carter WC                                    	              2	     0.128
Cerrito PB                                   	              2	     0.128
Chabot T                                     	              2	     0.128
Chen WH                                      	              2	     0.128
Coleman ME                                   	              2	     0.128
Colladon AF                                  	              2	     0.128
Conaldi G                                    	              2	     0.128
Conrath DW                                   	              2	     0.128
Copeland M                                   	              2	     0.128
Coromina L                                   	              2	     0.128
Costenbader E                                	              2	     0.128
Cronin B                                     	              2	     0.128
Cui WT                                       	              2	     0.128
Cummings JN                                  	              2	     0.128
Dabkowski M                                  	              2	     0.128
Daniel JR                                    	              2	     0.128
Daraganova G                                 	              2	     0.128
De Stefano D                                 	              2	     0.128
De Vita R                                    	              2	     0.128
Del Valle S                                  	              2	     0.128
Dellaposta D                                 	              2	     0.128
Deng HZ                                      	              2	     0.128
Dijkstra JK                                  	              2	     0.128
Dow MM                                       	              2	     0.128
Duxbury SW                                   	              2	     0.128
Dávid B                                      	              2	     0.128
Edling C                                     	              2	     0.128
Ellwardt L                                   	              2	     0.128
Elmer T                                      	              2	     0.128
Emanuelson P                                 	              2	     0.128
Entwisle B                                   	              2	     0.128
Erickson BH                                  	              2	     0.128
Eveland WP                                   	              2	     0.128
Estévez JL                                   	              2	     0.128
Fairchild G                                  	              2	     0.128
Falzon L                                     	              2	     0.128
Favre G                                      	              2	     0.128
Figueiredo R                                 	              2	     0.128
Fischer M                                    	              2	     0.128
Fitzgerald WJ                                	              2	     0.128
Fitzhugh SM                                  	              2	     0.128
Flache A                                     	              2	     0.128
Frey V                                       	              2	     0.128
Galaskiewicz J                               	              2	     0.128
Genkin M                                     	              2	     0.128
Germann TC                                   	              2	     0.128
Geven S                                      	              2	     0.128
Giese H                                      	              2	     0.128
Gloor PA                                     	              2	     0.128
Gomez LR                                     	              2	     0.128
Gorgoni S                                    	              2	     0.128
Greenbaum SD                                 	              2	     0.128
Grund TU                                     	              2	     0.128
Guererro AM                                  	              2	     0.128
Glückler J                                   	              2	     0.128
Hachen D                                     	              2	     0.128
Halgin DS                                    	              2	     0.128
Hamberger K                                  	              2	     0.128
Han SK                                       	              2	     0.128
Haynie DL                                    	              2	     0.128
Heemskerk EM                                 	              2	     0.128
Helm J                                       	              2	     0.128
Hennig M                                     	              2	     0.128
Henriksen LF                                 	              2	     0.128
Higgins CA                                   	              2	     0.128
Hoff PD                                      	              2	     0.128
Hollstein B                                  	              2	     0.128
Hollway J                                    	              2	     0.128
Holme P                                      	              2	     0.128
Hornik K                                     	              2	     0.128
Hsieh MH                                     	              2	     0.128
Huisman M                                    	              2	     0.128
Huitsing G                                   	              2	     0.128
Hunter DR                                    	              2	     0.128
Häussler T                                   	              2	     0.128
Im DK                                        	              2	     0.128
Ishiguro I                                   	              2	     0.128
Jacobs D                                     	              2	     0.128
Jansson I                                    	              2	     0.128
Jaramillo-rodriguez E                        	              2	     0.128
Jaspers E                                    	              2	     0.128
Jones WL                                     	              2	     0.128
Jose R                                       	              2	     0.128
Kalish Y                                     	              2	     0.128
Kalmijn M                                    	              2	     0.128
Kang SM                                      	              2	     0.128
Kardos P                                     	              2	     0.128
Karkavandi MA                                	              2	     0.128
Kaski K                                      	              2	     0.128
Killworth P                                  	              2	     0.128
