Publication Years                            	   Record Count	       % of 1,557

2025                                         	              3	     0.193
2024                                         	             54	     3.468
2023                                         	             74	     4.753
2022                                         	             82	     5.267
2021                                         	            100	     6.423
2020                                         	             48	     3.083
2019                                         	             43	     2.762
2018                                         	             87	     5.588
2017                                         	             57	     3.661
2016                                         	             66	     4.239
2015                                         	             56	     3.597
2014                                         	             40	     2.569
2013                                         	             60	     3.854
2012                                         	             64	     4.110
2011                                         	             32	     2.055
2010                                         	             32	     2.055
2009                                         	             27	     1.734
2008                                         	             29	     1.863
2007                                         	             45	     2.890
2006                                         	             28	     1.798
2005                                         	             24	     1.541
2004                                         	             24	     1.541
2003                                         	             18	     1.156
2002                                         	             23	     1.477
2001                                         	             15	     0.963
2000                                         	             20	     1.285
1999                                         	             20	     1.285
1998                                         	             21	     1.349
1997                                         	             23	     1.477
1996                                         	             20	     1.285
1995                                         	             18	     1.156
1994                                         	             15	     0.963
1993                                         	             20	     1.285
1992                                         	             17	     1.092
1991                                         	             18	     1.156
1990                                         	             21	     1.349
1989                                         	             16	     1.028
1988                                         	             19	     1.220
1987                                         	             21	     1.349
1986                                         	             18	     1.156
1985                                         	             15	     0.963
1984                                         	             15	     0.963
1983                                         	             24	     1.541
1982                                         	             25	     1.606
1981                                         	             16	     1.028
1980                                         	             19	     1.220
1979                                         	             17	     1.092
1978                                         	              8	     0.514
