Funding Agencies                             	   Record Count	       % of 1,557

UNITED STATES DEPARTMENT OF HEALTH HUMAN SERV	             82	     5.267
ICES                                         	               	          
NATIONAL INSTITUTES OF HEALTH NIH USA        	             81	     5.202
NATIONAL SCIENCE FOUNDATION NSF              	             63	     4.046
GERMAN RESEARCH FOUNDATION DFG               	             32	     2.055
NIH EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE	             25	     1.606
OF CHILD HEALTH HUMAN DEVELOPMENT NICHD      	               	          
NSF DIRECTORATE FOR SOCIAL BEHAVIORAL ECONOMI	             22	     1.413
C SCIENCES SBE                               	               	          
SWISS NATIONAL SCIENCE FOUNDATION SNSF       	             21	     1.349
NIH NATIONAL INSTITUTE ON DRUG ABUSE NIDA    	             20	     1.285
EUROPEAN RESEARCH COUNCIL ERC                	             19	     1.220
UK RESEARCH INNOVATION UKRI                  	             17	     1.092
EUROPEAN UNION EU                            	             15	     0.963
NETHERLANDS ORGANIZATION FOR SCIENTIFIC RESEA	             15	     0.963
RCH NWO                                      	               	          
LEVERHULME TRUST                             	             11	     0.706
SPANISH GOVERNMENT                           	             11	     0.706
ECONOMIC SOCIAL RESEARCH COUNCIL ESRC        	             10	     0.642
NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA 	              9	     0.578
NSFC                                         	               	          
NIH NATIONAL INSTITUTE ON AGING NIA          	              9	     0.578
NSF DIRECTORATE FOR COMPUTER INFORMATION SCIE	              9	     0.578
NCE ENGINEERING CISE                         	               	          
UNITED STATES DEPARTMENT OF DEFENSE          	              9	     0.578
JAPAN SOCIETY FOR THE PROMOTION OF SCIENCE   	              8	     0.514
MINISTRY OF EDUCATION CULTURE SPORTS SCIENCE 	              8	     0.514
AND TECHNOLOGY JAPAN MEXT                    	               	          
NIH NATIONAL INSTITUTE OF MENTAL HEALTH NIMH 	              8	     0.514
AGENCE NATIONALE DE LA RECHERCHE ANR         	              7	     0.450
GRANTS IN AID FOR SCIENTIFIC RESEARCH KAKENHI	              7	     0.450
MINISTRY OF SCIENCE AND TECHNOLOGY TAIWAN    	              7	     0.450
NSF DIVISION OF INFORMATION INTELLIGENT SYSTE	              7	     0.450
MS IIS                                       	               	          
UNIVERSITY OF CHICAGO                        	              7	     0.450
W T GRANT FOUNDATION                         	              7	     0.450
ENGINEERING PHYSICAL SCIENCES RESEARCH COUNCI	              6	     0.385
L EPSRC                                      	               	          
EUROPEAN COMMISSION JOINT RESEARCH CENTRE    	              6	     0.385
ACADEMIA SINICA TAIWAN                       	              5	     0.321
FEDERAL MINISTRY OF EDUCATION RESEARCH BMBF  	              5	     0.321
NIH NATIONAL INSTITUTE ON ALCOHOL ABUSE ALCOH	              5	     0.321
OLISM NIAAA                                  	               	          
SLOVENIAN RESEARCH AGENCY SLOVENIA           	              5	     0.321
SOCIAL SCIENCES HUMANITIES RESEARCH COUNCIL O	              5	     0.321
F CANADA SSHRC                               	               	          
MINISTRY OF SCIENCE AND INNOVATION SPAIN MICI	              4	     0.257
NN                                           	               	          
NIH NATIONAL INSTITUTE OF GENERAL MEDICAL SCI	              4	     0.257
ENCES NIGMS                                  	               	          
ORSZAGOS TUDOMANYOS KUTATASI ALAPPROGRAMOK OT	              4	     0.257
KA                                           	               	          
US ARMY RESEARCH LABORATORY ARL              	              4	     0.257
BRITISH ACADEMY                              	              3	     0.193
CGIAR                                        	              3	     0.193
ICREA                                        	              3	     0.193
INSTITUTE FOR QUANTITATIVE SOCIAL SCIENCE AT 	              3	     0.193
HARVARD UNIVERSITY                           	               	          
JAN WALLANDERS AND TOM HEDELIUS FOUNDATION   	              3	     0.193
MEDICAL RESEARCH COUNCIL UK MRC              	              3	     0.193
NETHERLANDS ORGANISATION FOR SCIENTIFIC RESEA	              3	     0.193
RCH VENI GRANT                               	               	          
NIH NATIONAL CENTER FOR ADVANCING TRANSLATION	              3	     0.193
AL SCIENCES NCATS                            	               	          
NIH NATIONAL INSTITUTE OF ALLERGY INFECTIOUS 	              3	     0.193
DISEASES NIAID                               	               	          
OFFICE OF NAVAL RESEARCH                     	              3	     0.193
RESEARCH COUNCIL OF FINLAND                  	              3	     0.193
SCIENCE FOUNDATION IRELAND SFI               	              3	     0.193
UNITED STATES NAVY                           	              3	     0.193
ALEXANDER VON HUMBOLDT FOUNDATION            	              2	     0.128
ARO                                          	              2	     0.128
AUSTRALIAN RESEARCH COUNCIL                  	              2	     0.128
BILL MELINDA GATES FOUNDATION                	              2	     0.128
BILL MELINDA GATES FOUNDATION GRAND CHALLENGE	              2	     0.128
S EXPLORATIONS INITIATIVE                    	               	          
CANCER PREVENTION RESEARCH INSTITUTE OF TEXAS	              2	     0.128
CAREER AWARD FROM THE SOCIOLOGY AND LAW AND S	              2	     0.128
OCIAL SCIENCE PROGRAMS AT THE NATIONAL SCIENCE FOUNDATION	               	          
CENTRE FOR PUBLIC AUTHORITY AND INTERNATIONAL	              2	     0.128
DEVELOPMENT AT THE LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE	               	          
COMPUTATIONAL SYSTEMS AND SOFTWARE ENVIRONMEN	              2	     0.128
TS SUBPROGRAM OF LANL S ADVANCED SIMULATION AND COMPUTING PROGRAM	               	          
COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE 	              2	     0.128
NIVEL SUPERIOR CAPES                         	               	          
DEUTSCHER AKADEMISCHER AUSTAUSCH DIENST DAAD 	              2	     0.128
DFID ESRC POVERTY ALLEVIATION PROGRAMME UNIVE	              2	     0.128
RSITY OF EDINBURGH                           	               	          
DG EMPLOYMENT SOCIAL AFFAIRS INCLUSION       	              2	     0.128
ERDF A WAY OF MAKING EUROPE                  	              2	     0.128
EUROPEAN COOPERATION IN SCIENCE AND TECHNOLOG	              2	     0.128
Y COST                                       	               	          
FAIRBANK CENTER FOR CHINESE STUDIES AT HARVAR	              2	     0.128
D UNIVERSITY                                 	               	          
FUNDACAO PARA A CIENCIA E A TECNOLOGIA FCT   	              2	     0.128
FUNDAMENTAL RESEARCH FUNDS FOR THE CENTRAL UN	              2	     0.128
IVERSITIES                                   	               	          
GRADUATE SCHOOL OF ARTS AND SCIENCES AT HARVA	              2	     0.128
RD UNIVERSITY                                	               	          
INSTITUTE FOR THE SOCIAL SCIENCES AT CORNELL 	              2	     0.128
UNIVERSITY                                   	               	          
JAMES S MCDONNELL FOUNDATION                 	              2	     0.128
MARIANNE AND MARCUS WALLENBERG FOUNDATION    	              2	     0.128
MAX PLANCK SOCIETY                           	              2	     0.128
MCIN AEI                                     	              2	     0.128
MICHIGAN STATE UNIVERSITY                    	              2	     0.128
MINISTRY OF EDUCATION SINGAPORE              	              2	     0.128
MULTIDISCIPLINARY PROGRAM IN INEQUALITY AND S	              2	     0.128
OCIAL POLICY AT HARVARD UNIVERSITY           	               	          
NATIONAL INSTITUTES OF HEALTH FROM THE NATION	              2	     0.128
AL INSTITUTE ON AGING                        	               	          
NATIONAL OCEANIC ATMOSPHERIC ADMIN NOAA USA  	              2	     0.128
NIH NATIONAL HUMAN GENOME RESEARCH INSTITUTE 	              2	     0.128
NHGRI                                        	               	          
NIH NATIONAL INSTITUTE OF NURSING RESEARCH NI	              2	     0.128
NR                                           	               	          
NSF DIRECTORATE FOR MATHEMATICAL PHYSICAL SCI	              2	     0.128
ENCES MPS                                    	               	          
NSF DIRECTORATE FOR STEM EDUCATION EDU       	              2	     0.128
NSF HSD                                      	              2	     0.128
PENNSYLVANIA STATE UNIVERSITY                	              2	     0.128
POLISH NATIONAL SCIENCE CENTRE               	              2	     0.128
POLITICAL SETTLEMENTS RESEARCH PROGRAMME UK A	              2	     0.128
ID FROM THE UK DEPARTMENT FOR INTERNATIONAL DEVELOPMENT DFID	               	          
POPULATION RESEARCH INSTITUTE                	              2	     0.128
ROBERT WOOD JOHNSON FOUNDATION RWJF          	              2	     0.128
RUSSIAN FOUNDATION FOR BASIC RESEARCH RFBR   	              2	     0.128
RUSSIAN SCIENCE FOUNDATION RSF               	              2	     0.128
SWEDISH RESEARCH COUNCIL FOR HEALTH WORKING L	              2	     0.128
IFE WELFARE FORTE                            	               	          
U S ARMY RESEARCH OFFICE                     	              2	     0.128
UNIVERSITY OF BREMEN                         	              2	     0.128
UNIVERSITY OF HAMBURG                        	              2	     0.128
US DEPARTMENT OF EDUCATION                   	              2	     0.128
WILLIAM T GRANT FOUNDATION                   	              2	     0.128
