id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
1	freeman (1979)	"<table><tr><td>Authors:</td><td>freeman, lc</td></tr><tr><td>Title:</td><td>centrality in social networks conceptual clarification</td></tr><tr><td>Source:</td><td>social networks, 1(3), 215-239</td></tr><tr><td>Year:</td><td>1979</td></tr></table>"	https://doi.org/10.1016/0378-8733(78)90021-7	-0.4422	0.0754	6	174	10811	16.4345	1979	10811	16.4345
2	opsahl (2010)	"<table><tr><td>Authors:</td><td>opsahl, tore; agneessens, filip; skvoretz, john</td></tr><tr><td>Title:</td><td>node centrality in weighted networks: generalizing degree and shortest paths</td></tr><tr><td>Source:</td><td>social networks, 32(3), 245-251</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1016/j.socnet.2010.03.006	-0.5126	0.0348	7	24	2269	13.0402	2010	2269	13.0402
3	borgatti (2005a)	"<table><tr><td>Authors:</td><td>borgatti, sp</td></tr><tr><td>Title:</td><td>centrality and network flow</td></tr><tr><td>Source:</td><td>social networks, 27(1), 55-71</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1016/j.socnet.2004.11.008	-0.5355	0.1701	6	32	2108	9.0391	2005	2108	9.0391
4	adamic (2003)	"<table><tr><td>Authors:</td><td>adamic, la; adar, e</td></tr><tr><td>Title:</td><td>friends and neighbors on the web</td></tr><tr><td>Source:</td><td>social networks, 25(3), 211-230</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	https://doi.org/10.1016/s0378-8733(03)00009-1	-0.2862	0.057	13	5	1786	8.8856	2003	1786	8.8856
5	holland (1983)	"<table><tr><td>Authors:</td><td>holland, pw; laskey, kb; leinhardt, s</td></tr><tr><td>Title:</td><td>stochastic blockmodels - 1st steps</td></tr><tr><td>Source:</td><td>social networks, 5(2), 109-137</td></tr><tr><td>Year:</td><td>1983</td></tr></table>"	https://doi.org/10.1016/0378-8733(83)90021-7	-0.9767	-0.5629	21	22	1690	11.6151	1983	1690	11.6151
6	newman (2005)	"<table><tr><td>Authors:</td><td>newman, mej</td></tr><tr><td>Title:</td><td>a measure of betweenness centrality based on random walks</td></tr><tr><td>Source:</td><td>social networks, 27(1), 39-54</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1016/j.socnet.2004.11.009	-0.6703	0.1623	6	15	1420	6.089	2005	1420	6.089
7	snijders (2010a)	"<table><tr><td>Authors:</td><td>snijders, tom a. b.; van de bunt, gerhard g.; steglich, christian e. g.</td></tr><tr><td>Title:</td><td>introduction to stochastic actor-based models for network dynamics</td></tr><tr><td>Source:</td><td>social networks, 32(1), 44-60</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1016/j.socnet.2009.02.004	0.0227	0.5461	4	117	1312	7.5402	2010	1312	7.5402
8	borgatti (1999)	"<table><tr><td>Authors:</td><td>borgatti, sp; everett, mg</td></tr><tr><td>Title:</td><td>models of core/periphery structures</td></tr><tr><td>Source:</td><td>social networks, 21(4), 375-395</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"		-0.5973	-0.0433	7	45	1282	9.892	1999	1282	9.892
9	robins (2007a)	"<table><tr><td>Authors:</td><td>robins, garry; pattison, pip; kalish, yuval; lusher, dean</td></tr><tr><td>Title:</td><td>an introduction to exponential random graph (<i>p*</i>) models for social networks</td></tr><tr><td>Source:</td><td>social networks, 29(2), 173-191</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1016/j.socnet.2006.08.002	0.0827	0.5805	10	91	1227	10.8605	2007	1227	10.8605
10	seidman (1983a)	"<table><tr><td>Authors:</td><td>seidman, sb</td></tr><tr><td>Title:</td><td>network structure and minimum degree</td></tr><tr><td>Source:</td><td>social networks, 5(3), 269-287</td></tr><tr><td>Year:</td><td>1983</td></tr></table>"	https://doi.org/10.1016/0378-8733(83)90028-x	-0.4786	-0.1955	18	19	1184	8.1375	1983	1184	8.1375
11	bonacich (2007)	"<table><tr><td>Authors:</td><td>bonacich, phillip</td></tr><tr><td>Title:</td><td>some unique properties of eigenvector centrality</td></tr><tr><td>Source:</td><td>social networks, 29(4), 555-564</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1016/j.socnet.2007.04.002	-0.3278	0.3435	19	10	932	8.2494	2007	932	8.2494
12	borgatti (2006a)	"<table><tr><td>Authors:</td><td>borgatti, stephen p.; everett, martin g.</td></tr><tr><td>Title:</td><td>a graph-theoretic perspective on centrality</td></tr><tr><td>Source:</td><td>social networks, 28(4), 466-484</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1016/j.socnet.2005.11.005	-0.5871	0.1948	6	43	744	7.1269	2006	744	7.1269
13	burt (1984)	"<table><tr><td>Authors:</td><td>burt, rs</td></tr><tr><td>Title:</td><td>network items and the general social survey</td></tr><tr><td>Source:</td><td>social networks, 6(4), 293-339</td></tr><tr><td>Year:</td><td>1984</td></tr></table>"	https://doi.org/10.1016/0378-8733(84)90007-8	0.8453	-0.3545	5	108	732	10.3487	1984	732	10.3487
14	krackhardt (1988)	"<table><tr><td>Authors:</td><td>krackhardt, d</td></tr><tr><td>Title:</td><td>predicting with networks - nonparametric multiple-regression analysis of dyadic data</td></tr><tr><td>Source:</td><td>social networks, 10(4), 359-381</td></tr><tr><td>Year:</td><td>1988</td></tr></table>"	https://doi.org/10.1016/0378-8733(88)90004-4	0.011	0.3131	16	37	684	8.1174	1988	684	8.1174
15	bonacich (2001)	"<table><tr><td>Authors:</td><td>bonacich, p; lloyd, p</td></tr><tr><td>Title:</td><td>eigenvector-like measures of centrality for asymmetric relations</td></tr><tr><td>Source:</td><td>social networks, 23(3), 191-201</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"	https://doi.org/10.1016/s0378-8733(01)00038-7	-0.7804	0.4352	20	16	670	5.662	2001	670	5.662
16	freeman (1991)	"<table><tr><td>Authors:</td><td>freeman, lc; borgatti, sp; white, dr</td></tr><tr><td>Title:</td><td>centrality in valued graphs - a measure of betweenness based on network flow</td></tr><tr><td>Source:</td><td>social networks, 13(2), 141-154</td></tr><tr><td>Year:</td><td>1991</td></tr></table>"	https://doi.org/10.1016/0378-8733(91)90017-n	-0.6773	0.0918	6	31	648	6.3807	1991	648	6.3807
17	opsahl (2009)	"<table><tr><td>Authors:</td><td>opsahl, tore; panzarasa, pietro</td></tr><tr><td>Title:</td><td>clustering in weighted networks</td></tr><tr><td>Source:</td><td>social networks, 31(2), 155-163</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1016/j.socnet.2009.02.002	-0.4586	-0.0894	7	19	643	6.5761	2009	643	6.5761
