Metric,Social Networks,Journal of Complex Networks,Network Science
Total publications (TP),1558,,
Number of contributing authors (NCA),2356,,
Number of active years of publication (NAY),,,
Productivity per active year of publication (PAY),,,
Total citations (TC),,,
Average citations (AC),,,
Collaboration index (CI),,,
Collaboration coefficient (CC),,,
Number of cited publications (NCP),,,
Proportion of cited publications (PCP),,,
Citations per cited publication (CCP),,,
h-index (h),,,
g-index (g),,,
"i-index (i-10, i-100, i-200)",,,
